ticket,time,date,hour,dir,lot,pos_mult,entry,initial_sl,tp,exit,reason,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time
2,2025-11-22 11:30:19,2025-11-22,11,sell,0.01,0.8,84145.66,84394.67,,84096.19,SL,249.00999999999476,0.19866672021204854,151.26666666666668,1,0.19999196819406434,19,0.266,-1.468,84192.38,84163.66,2025-11-22 14:01:35
4,2025-11-22 20:37:01,2025-11-22,20,buy,0.01,0.5,84539.27,84385.3,84610.49,84385.01,SL,153.97000000000116,-1.0018834837955974,7.566666666666666,0,-999,35,0.276,-1.618,84508.15,84521.27,2025-11-22 20:44:35
6,2025-11-22 22:15:19,2025-11-22,22,buy,0.01,0.5,84525.26,84392.99,84596.48,84598.18,TP,132.26999999998952,0.5512965903077344,0.5333333333333333,0,-999,19,0.314,-1.913,84492.34,84507.26,2025-11-22 22:15:51
8,2025-11-23 11:46:00,2025-11-23,11,sell,0.01,0.5,86273.04,86462.18,86130.0,86463.43,SL,189.13999999999942,-1.0066088611610446,19.65,0,-999,57,0.261,-1.26,86315.91,86291.04,2025-11-23 12:05:39
10,2025-11-24 14:55:02,2025-11-24,14,buy,0.02,2.3,85740.92,85420.42,,86809.13,MARKET_CLOSE,320.5,3.3329485179407374,71.63333333333334,1,0.20000000000001816,2,0.286,-2.597,85695.48,85722.92,2025-11-24 16:06:40
12,2025-11-25 11:09:59,2025-11-25,11,sell,0.01,0.5,87402.91,87555.34,87327.13,87326.93,TP,152.42999999999302,0.4984583087319685,10.633333333333333,0,-999,152,0.324,-2.039,87437.28,87420.91,2025-11-25 11:20:37
14,2025-11-26 04:52:01,2025-11-26,4,sell,0.01,0.5,87172.8,87412.08,87013.25,87421.78,SL,239.27999999999884,-1.0405382815111883,15.033333333333333,0,-999,121,0.289,-0.92,87221.51,87190.8,2025-11-26 05:07:03
16,2025-11-26 08:06:05,2025-11-26,8,buy,0.01,0.5,87775.85,87610.82,87841.06,87607.75,SL,165.02999999999884,-1.0186026783009574,8.216666666666667,0,-999,56,0.269,-1.134,87746.17,87757.85,2025-11-26 08:14:18
18,2025-11-26 08:31:16,2025-11-26,8,sell,0.01,0.5,87578.36,87735.8,87507.38,87504.07,TP,157.44000000000233,0.47186229674791985,2.2666666666666666,0,-999,65,0.279,-1.378,87609.57,87596.36,2025-11-26 08:33:32
20,2025-11-26 10:41:04,2025-11-26,10,sell,0.01,0.5,86816.49,87078.54,86588.63,87085.85,SL,262.04999999998836,-1.0278954398016125,64.01666666666667,0,-999,36,0.257,-0.545,86873.54,86834.49,2025-11-26 11:45:05
