time,open,high,low,close,tick_volume,spread,real_volume
2024.01.01 00:00,2064.593,2066.095,2062.645,2063.543,1996,377,0
2024.01.02 00:00,2063.347,2078.877,2056.097,2059.476,101297,199,0
2024.01.03 00:00,2059.448,2065.982,2030.522,2042.666,120881,199,0
2024.01.04 00:00,2042.657,2050.958,2036.174,2043.865,98743,199,0
2024.01.05 00:00,2043.917,2063.986,2024.317,2045.479,136497,199,0
2024.01.07 00:00,2044.595,2045.575,2042.902,2044.208,2759,199,0
2024.01.08 00:00,2044.212,2046.590,2016.674,2030.439,118359,199,0
2024.01.09 00:00,2030.411,2042.004,2026.021,2030.401,108999,199,0
2024.01.10 00:00,2030.403,2040.263,2020.353,2026.358,102580,199,0
2024.01.11 00:00,2026.413,2047.852,2013.209,2034.954,134638,199,0
2024.01.12 00:00,2035.011,2062.267,2030.010,2049.032,119436,199,0
2024.01.14 00:00,2048.130,2048.705,2046.293,2047.612,2659,200,0
2024.01.15 00:00,2047.652,2058.626,2045.764,2053.841,73428,199,0
2024.01.16 00:00,2053.997,2054.508,2024.188,2027.826,127362,199,0
2024.01.17 00:00,2027.858,2032.935,2001.739,2009.243,121508,199,0
2024.01.18 00:00,2009.261,2024.232,2005.717,2023.423,100416,199,0
2024.01.19 00:00,2023.523,2039.232,2020.310,2029.452,91505,199,0
2024.01.21 00:00,2028.529,2028.563,2026.882,2027.504,2792,200,0
2024.01.22 00:00,2027.490,2032.074,2016.399,2020.552,95510,199,0
2024.01.23 00:00,2020.554,2037.908,2019.559,2029.137,96061,199,0
2024.01.24 00:00,2029.003,2036.630,2011.138,2016.101,105223,199,0
2024.01.25 00:00,2015.977,2025.241,2009.497,2020.248,98769,199,0
2024.01.26 00:00,2020.356,2026.819,2015.854,2018.469,84386,199,0
2024.01.28 00:00,2023.424,2028.599,2021.187,2021.831,5024,199,0
2024.01.29 00:00,2021.832,2037.561,2019.282,2030.730,90006,199,0
2024.01.30 00:00,2030.692,2048.556,2029.024,2036.231,98561,199,0
2024.01.31 00:00,2036.400,2055.969,2030.821,2039.784,126209,199,0
2024.02.01 00:00,2039.897,2065.458,2029.913,2054.627,120393,199,0
2024.02.02 00:00,2054.638,2057.623,2027.741,2039.607,109074,199,0
2024.02.04 00:00,2041.781,2042.217,2039.070,2039.716,3243,199,0
2024.02.05 00:00,2039.298,2039.822,2014.811,2024.859,98311,199,0
2024.02.06 00:00,2024.810,2038.880,2022.831,2035.069,89956,199,0
2024.02.07 00:00,2035.115,2044.527,2030.508,2036.227,83874,199,0
2024.02.08 00:00,2036.221,2038.726,2020.115,2034.123,89631,199,0
2024.02.09 00:00,2033.939,2037.174,2020.193,2024.240,82302,199,0
2024.02.11 00:00,2026.346,2026.705,2024.402,2025.266,2169,200,0
2024.02.12 00:00,2025.417,2027.553,2011.873,2018.650,77644,199,0
2024.02.13 00:00,2018.601,2032.196,1989.965,1991.193,98952,199,0
2024.02.14 00:00,1991.332,1996.068,1984.158,1993.452,91690,199,0
2024.02.15 00:00,1993.441,2008.221,1990.172,2003.157,87912,199,0
2024.02.16 00:00,2003.094,2015.126,1995.070,2013.269,89561,199,0
2024.02.18 00:00,2012.706,2019.066,1997.784,2010.603,4243,200,0
2024.02.19 00:00,2012.792,2022.956,2009.184,2016.203,63451,199,0
2024.02.20 00:00,2015.981,2030.875,2014.957,2024.128,80367,199,0
2024.02.21 00:00,2024.048,2032.250,2020.001,2025.568,82601,199,0
2024.02.22 00:00,2025.483,2034.833,2019.547,2024.677,88912,199,0
2024.02.23 00:00,2024.524,2041.344,2015.981,2035.524,84868,199,0
2024.02.25 00:00,2033.240,2034.940,2033.179,2034.224,2093,200,0
2024.02.26 00:00,2033.996,2037.020,2025.015,2031.073,79981,199,0
2024.02.27 00:00,2030.986,2039.471,2028.677,2030.090,76574,199,0
2024.02.28 00:00,2029.968,2037.922,2024.476,2034.303,77437,199,0
2024.02.29 00:00,2034.378,2050.671,2028.064,2043.981,88660,199,0
2024.03.01 00:00,2044.053,2088.310,2039.039,2083.315,98743,199,0
2024.03.03 00:00,2082.522,2086.145,2082.522,2083.440,2901,199,0
2024.03.04 00:00,2083.591,2119.885,2079.411,2114.480,99739,199,0
2024.03.05 00:00,2114.340,2141.881,2110.410,2128.162,124544,199,0
2024.03.06 00:00,2127.777,2152.234,2123.603,2147.192,119470,199,0
2024.03.07 00:00,2146.851,2164.753,2144.185,2161.467,123539,199,0
2024.03.08 00:00,2161.643,2195.146,2153.952,2178.502,136803,199,0
2024.03.10 00:00,2179.559,2183.825,2177.113,2181.567,5759,199,0
2024.03.11 00:00,2181.593,2189.012,2174.633,2183.552,102788,199,0
2024.03.12 00:00,2183.551,2184.483,2150.467,2156.915,130704,199,0
2024.03.13 00:00,2156.907,2179.797,2156.531,2175.361,101986,199,0
2024.03.14 00:00,2175.448,2176.971,2152.649,2161.645,105707,199,0
2024.03.15 00:00,2161.698,2172.712,2155.092,2155.697,95303,199,0
2024.03.17 00:00,2153.279,2156.533,2153.081,2156.516,5016,200,0
2024.03.18 00:00,2156.473,2163.613,2146.028,2161.650,93284,199,0
2024.03.19 00:00,2162.053,2162.836,2147.156,2157.009,96937,199,0
2024.03.20 00:00,2157.054,2211.005,2149.550,2203.501,130180,199,0
2024.03.21 00:00,2203.971,2212.563,2166.296,2181.491,141858,199,0
2024.03.22 00:00,2181.676,2186.043,2156.981,2165.338,111852,199,0
2024.03.24 00:00,2166.313,2168.894,2165.060,2168.337,5628,199,0
2024.03.25 00:00,2168.318,2181.260,2163.415,2172.878,102886,199,0
2024.03.26 00:00,2172.883,2200.050,2167.540,2179.466,109276,199,0
2024.03.27 00:00,2179.463,2197.586,2173.105,2190.969,107746,199,0
2024.03.28 00:00,2190.723,2236.293,2187.305,2232.587,123652,199,0
2024.03.31 00:00,2239.644,2247.340,2235.573,2244.928,10518,299,0
2024.04.01 00:00,2245.959,2265.678,2228.473,2248.935,129050,199,0
2024.04.02 00:00,2248.963,2288.148,2246.656,2280.206,151315,199,0
2024.04.03 00:00,2279.886,2302.445,2265.347,2297.448,153594,199,0
2024.04.04 00:00,2297.500,2305.537,2279.817,2288.891,143518,199,0
2024.04.05 00:00,2288.702,2330.526,2267.751,2329.355,173372,199,0
2024.04.07 00:00,2327.315,2328.564,2303.998,2311.647,19545,199,0
2024.04.08 00:00,2311.297,2354.147,2302.862,2338.788,231306,199,0
2024.04.09 00:00,2338.784,2365.340,2337.771,2354.776,184312,199,0
2024.04.10 00:00,2354.899,2360.079,2319.215,2335.429,228316,199,0
2024.04.11 00:00,2335.489,2379.358,2325.593,2377.000,178661,199,0
2024.04.12 00:00,2376.787,2431.528,2333.794,2344.382,305463,199,0
2024.04.14 00:00,2369.105,2371.920,2346.754,2364.486,11695,199,0
2024.04.15 00:00,2364.446,2391.957,2324.099,2381.833,250462,199,0
2024.04.16 00:00,2381.896,2398.263,2362.963,2382.843,237484,199,0
2024.04.17 00:00,2382.703,2395.581,2354.560,2367.839,195073,199,0
2024.04.18 00:00,2367.836,2392.804,2364.009,2380.003,168116,199,0
2024.04.19 00:00,2379.867,2417.894,2372.761,2390.677,255499,199,0
2024.04.21 00:00,2384.011,2388.595,2381.882,2386.483,9785,199,0
2024.04.22 00:00,2386.506,2386.506,2324.550,2333.738,189192,199,0
2024.04.23 00:00,2333.715,2334.376,2291.332,2323.210,218340,199,0
2024.04.24 00:00,2323.225,2337.354,2311.706,2316.219,155167,199,0
2024.04.25 00:00,2316.223,2344.872,2304.834,2330.621,174066,199,0
2024.04.26 00:00,2330.617,2352.555,2326.218,2337.792,141793,199,0
2024.04.28 00:00,2333.884,2336.829,2332.473,2335.985,6405,199,0
2024.04.29 00:00,2335.937,2346.709,2319.802,2333.173,153508,199,0
2024.04.30 00:00,2333.178,2336.113,2284.999,2291.244,156493,199,0
2024.05.01 00:00,2291.256,2328.294,2281.544,2323.809,178219,199,0
2024.05.02 00:00,2323.848,2326.493,2285.392,2304.247,147784,199,0
2024.05.03 00:00,2304.243,2320.712,2277.074,2301.627,171329,199,0
2024.05.05 00:00,2302.321,2303.288,2293.261,2293.968,7234,199,0
2024.05.06 00:00,2293.929,2332.091,2291.767,2325.943,148842,199,0
2024.05.07 00:00,2325.953,2329.926,2309.915,2315.118,117092,199,0
2024.05.08 00:00,2315.167,2321.336,2303.584,2308.740,124539,199,0
2024.05.09 00:00,2308.733,2348.325,2306.468,2346.516,132270,199,0
2024.05.10 00:00,2346.560,2378.476,2345.925,2360.449,146667,199,0
2024.05.12 00:00,2361.401,2363.093,2359.738,2360.410,5288,199,0
2024.05.13 00:00,2360.448,2364.489,2332.029,2338.408,129009,199,0
2024.05.14 00:00,2338.390,2359.592,2334.734,2355.772,131674,199,0
2024.05.15 00:00,2355.770,2391.911,2351.748,2391.769,158937,199,0
2024.05.16 00:00,2391.764,2397.341,2370.885,2377.726,139611,199,0
2024.05.17 00:00,2377.720,2422.733,2373.908,2413.933,137757,199,0
2024.05.19 00:00,2425.201,2425.201,2416.732,2420.194,10238,199,0
2024.05.20 00:00,2420.205,2450.026,2407.273,2426.133,208142,199,0
2024.05.21 00:00,2426.136,2433.928,2406.037,2421.654,171622,199,0
2024.05.22 00:00,2421.659,2426.542,2374.935,2382.124,169781,199,0
2024.05.23 00:00,2382.155,2383.687,2326.867,2332.012,191720,199,0
2024.05.24 00:00,2332.015,2347.385,2325.351,2333.781,122340,199,0
2024.05.26 00:00,2335.785,2340.685,2332.183,2337.175,6786,199,0
2024.05.27 00:00,2337.186,2358.486,2334.360,2352.372,95245,199,0
2024.05.28 00:00,2352.412,2364.109,2340.229,2359.685,145889,199,0
2024.05.29 00:00,2359.648,2361.361,2334.487,2338.364,130877,199,0
2024.05.30 00:00,2338.378,2351.847,2322.520,2343.907,155574,199,0
2024.05.31 00:00,2343.921,2359.692,2320.526,2327.191,154225,199,0
2024.06.02 00:00,2328.496,2328.760,2323.340,2325.937,6616,199,0
2024.06.03 00:00,2325.967,2354.746,2314.676,2350.629,144179,199,0
2024.06.04 00:00,2350.641,2352.790,2315.547,2328.786,147508,199,0
2024.06.05 00:00,2328.790,2357.389,2325.827,2355.012,136529,199,0
2024.06.06 00:00,2355.008,2378.522,2353.336,2376.730,137963,199,0
2024.06.07 00:00,2376.735,2387.697,2286.723,2293.799,196751,199,0
2024.06.09 00:00,2290.431,2300.041,2290.380,2298.478,7159,199,0
2024.06.10 00:00,2298.477,2313.758,2287.710,2309.931,120046,199,0
2024.06.11 00:00,2309.926,2319.950,2297.625,2315.071,132242,199,0
2024.06.12 00:00,2315.056,2341.627,2310.654,2320.549,172657,199,0
2024.06.13 00:00,2320.569,2326.755,2295.463,2302.335,146146,199,0
2024.06.14 00:00,2302.380,2336.562,2301.504,2332.824,127461,199,0
2024.06.16 00:00,2331.087,2331.483,2327.411,2328.874,4385,199,0
2024.06.17 00:00,2328.918,2328.947,2309.951,2320.645,110328,199,0
2024.06.18 00:00,2320.634,2333.079,2306.502,2328.255,120039,199,0
2024.06.19 00:00,2328.272,2334.960,2323.666,2329.342,73445,199,0
2024.06.20 00:00,2329.358,2365.508,2327.736,2360.747,127603,199,0
2024.06.21 00:00,2360.765,2368.732,2316.650,2321.503,135609,199,0
2024.06.23 00:00,2321.110,2322.193,2317.682,2319.187,5099,199,0
2024.06.24 00:00,2319.169,2334.629,2317.860,2330.877,110104,199,0
2024.06.25 00:00,2330.869,2337.087,2315.436,2320.027,117227,199,0
2024.06.26 00:00,2319.977,2323.890,2293.524,2298.401,129635,199,0
2024.06.27 00:00,2298.412,2330.936,2296.429,2327.720,116307,199,0
2024.06.28 00:00,2327.663,2339.809,2318.984,2326.638,115832,199,0
2024.06.30 00:00,2322.849,2326.157,2322.837,2324.933,4751,199,0
2024.07.01 00:00,2324.951,2338.478,2318.446,2332.222,114515,199,0
2024.07.02 00:00,2332.216,2336.779,2319.004,2330.180,111962,199,0
2024.07.03 00:00,2330.177,2364.926,2326.799,2358.699,118618,199,0
2024.07.04 00:00,2358.721,2362.540,2350.330,2356.721,72106,199,0
2024.07.05 00:00,2356.753,2392.927,2347.375,2391.557,127446,199,0
2024.07.07 00:00,2389.586,2390.178,2384.767,2386.117,5361,199,0
2024.07.08 00:00,2386.065,2391.088,2350.975,2361.711,122056,199,0
2024.07.09 00:00,2361.738,2371.583,2349.327,2364.966,122084,199,0
2024.07.10 00:00,2364.944,2386.657,2363.304,2372.852,101977,199,0
2024.07.11 00:00,2372.832,2424.538,2371.418,2415.854,157046,199,0
2024.07.12 00:00,2415.851,2418.241,2391.352,2411.399,121851,199,0
2024.07.14 00:00,2411.619,2412.243,2405.677,2408.657,6541,179,0
2024.07.15 00:00,2408.659,2439.760,2401.298,2422.496,131763,162,0
2024.07.16 00:00,2422.482,2469.967,2419.914,2468.278,147760,179,0
2024.07.17 00:00,2468.268,2483.757,2451.407,2461.296,180291,179,0
2024.07.18 00:00,2461.334,2474.966,2440.226,2441.250,145206,179,0
2024.07.19 00:00,2441.292,2441.343,2393.727,2400.451,172612,179,0
2024.07.21 00:00,2403.680,2411.931,2402.487,2411.528,7271,179,0
2024.07.22 00:00,2411.496,2412.188,2383.797,2395.783,141433,179,0
2024.07.23 00:00,2395.750,2411.984,2388.225,2408.513,129769,179,0
2024.07.24 00:00,2408.558,2431.954,2393.033,2398.669,151481,179,0
2024.07.25 00:00,2398.720,2399.985,2353.086,2363.801,219827,179,0
2024.07.26 00:00,2363.849,2390.799,2355.842,2387.114,141499,179,0
2024.07.28 00:00,2387.944,2403.181,2387.839,2397.091,11158,179,0
2024.07.29 00:00,2397.055,2402.460,2369.495,2381.143,146898,179,0
2024.07.30 00:00,2381.186,2412.878,2376.471,2409.807,149625,179,0
2024.07.31 00:00,2409.810,2450.951,2403.877,2445.743,174440,179,0
2024.08.01 00:00,2445.725,2462.302,2430.165,2445.844,204297,179,0
2024.08.02 00:00,2445.886,2477.704,2410.794,2441.892,265455,179,0
2024.08.04 00:00,2441.020,2446.337,2437.890,2440.952,13274,179,0
2024.08.05 00:00,2440.984,2458.836,2364.245,2404.837,361654,179,0
2024.08.06 00:00,2404.865,2418.333,2381.404,2383.787,233528,179,0
2024.08.07 00:00,2383.723,2407.059,2378.931,2384.791,182207,179,0
2024.08.08 00:00,2384.835,2427.818,2383.283,2424.595,181402,179,0
2024.08.09 00:00,2424.519,2437.068,2416.829,2430.805,149099,179,0
2024.08.11 00:00,2428.332,2433.242,2427.241,2427.927,6505,179,0
2024.08.12 00:00,2427.928,2476.033,2423.825,2475.536,134686,169,0
2024.08.13 00:00,2475.580,2476.963,2458.493,2464.060,144295,169,0
2024.08.14 00:00,2464.104,2480.064,2437.995,2449.408,210028,169,0
