time,open,high,low,close,tick_volume,spread,real_volume
2024.01.01 23:00,2064.593,2066.095,2062.645,2063.543,1996,377,0
2024.01.02 00:00,2063.347,2065.772,2062.173,2065.340,2822,368,0
2024.01.02 01:00,2065.341,2069.900,2064.867,2066.536,4581,199,0
2024.01.02 02:00,2066.512,2068.267,2063.891,2067.669,3152,367,0
2024.01.02 03:00,2067.693,2070.338,2066.422,2069.487,2754,368,0
2024.01.02 04:00,2069.492,2070.666,2068.823,2069.500,2451,368,0
2024.01.02 05:00,2069.567,2074.800,2069.370,2074.310,3108,368,0
2024.01.02 06:00,2074.307,2076.651,2072.836,2074.144,3296,368,0
2024.01.02 07:00,2074.077,2076.358,2073.061,2073.065,3579,368,0
2024.01.02 08:00,2073.130,2074.407,2071.700,2073.216,3601,368,0
2024.01.02 09:00,2073.276,2078.877,2073.184,2077.032,3516,200,0
2024.01.02 10:00,2077.048,2077.753,2073.451,2075.949,4151,199,0
2024.01.02 11:00,2075.935,2076.177,2068.241,2069.221,5306,199,0
2024.01.02 12:00,2069.179,2069.503,2065.014,2067.864,5199,199,0
2024.01.02 13:00,2067.824,2071.008,2064.800,2066.272,7266,199,0
2024.01.02 14:00,2066.312,2070.395,2062.142,2070.325,8923,199,0
2024.01.02 15:00,2070.366,2070.699,2056.097,2059.305,11527,199,0
2024.01.02 16:00,2059.336,2067.583,2059.092,2066.092,6584,199,0
2024.01.02 17:00,2066.040,2066.909,2061.791,2062.681,4607,199,0
2024.01.02 18:00,2062.724,2064.917,2060.514,2061.164,4006,199,0
2024.01.02 19:00,2061.158,2062.176,2060.370,2060.946,3407,199,0
2024.01.02 20:00,2060.990,2061.577,2057.837,2058.143,3494,199,0
2024.01.02 21:00,2058.150,2059.231,2057.993,2058.855,2093,199,0
2024.01.02 23:00,2058.797,2059.874,2058.408,2059.476,1874,599,0
2024.01.03 00:00,2059.448,2062.122,2059.227,2060.197,3372,199,0
2024.01.03 01:00,2060.185,2062.555,2059.445,2062.379,4214,199,0
2024.01.03 02:00,2062.410,2065.174,2061.597,2064.696,3855,199,0
2024.01.03 03:00,2064.701,2065.542,2063.255,2065.072,3092,199,0
2024.01.03 04:00,2065.023,2065.527,2064.352,2064.764,2455,199,0
2024.01.03 05:00,2064.762,2065.982,2063.453,2064.061,3253,199,0
2024.01.03 06:00,2064.024,2065.357,2063.377,2064.300,3492,199,0
2024.01.03 07:00,2064.268,2064.320,2060.838,2062.915,4267,199,0
2024.01.03 08:00,2062.910,2064.376,2058.854,2060.082,4916,199,0
2024.01.03 09:00,2060.051,2060.577,2054.243,2056.796,4857,199,0
2024.01.03 10:00,2056.744,2057.157,2052.648,2054.849,4391,199,0
2024.01.03 11:00,2054.850,2055.634,2046.624,2047.617,5233,199,0
2024.01.03 12:00,2047.648,2048.335,2041.728,2045.712,7204,199,0
2024.01.03 13:00,2045.749,2047.982,2038.640,2040.974,8279,199,0
2024.01.03 14:00,2041.027,2042.294,2031.682,2037.821,9376,199,0
2024.01.03 15:00,2037.770,2048.765,2031.780,2032.552,12418,199,0
2024.01.03 16:00,2032.601,2036.049,2031.250,2032.375,7578,199,0
2024.01.03 17:00,2032.423,2033.779,2030.541,2033.303,5314,199,0
2024.01.03 18:00,2033.311,2036.331,2032.857,2035.754,4366,199,0
2024.01.03 19:00,2035.765,2042.278,2030.522,2036.620,8575,199,0
2024.01.03 20:00,2036.583,2042.309,2036.405,2040.956,5630,199,0
2024.01.03 21:00,2040.996,2041.809,2040.222,2041.175,2554,200,0
2024.01.03 23:00,2042.001,2043.669,2041.091,2042.666,2190,599,0
2024.01.04 00:00,2042.657,2043.187,2041.533,2042.090,3120,199,0
2024.01.04 01:00,2042.089,2043.289,2040.044,2042.197,4351,199,0
2024.01.04 02:00,2042.207,2044.742,2042.207,2044.586,4095,200,0
2024.01.04 03:00,2044.619,2046.960,2044.092,2044.684,3336,199,0
2024.01.04 04:00,2044.682,2044.682,2042.370,2043.012,3320,199,0
2024.01.04 05:00,2042.998,2044.274,2042.311,2043.774,3196,199,0
2024.01.04 06:00,2043.781,2048.590,2043.571,2047.203,4507,199,0
2024.01.04 07:00,2047.160,2049.552,2046.482,2047.599,4586,199,0
2024.01.04 08:00,2047.654,2048.584,2045.395,2046.763,4672,199,0
2024.01.04 09:00,2046.717,2050.958,2046.268,2047.993,4544,199,0
