time,open,high,low,close,tick_volume,spread,real_volume
2026.01.01 00:00,87507.82,87701.65,87489.54,87652.17,1300,1800,0
2026.01.01 01:00,87649.17,87907.80,87646.91,87793.16,1654,1800,0
2026.01.01 02:00,87794.09,87942.90,87737.54,87761.10,1545,1800,0
2026.01.01 03:00,87761.20,87873.69,87672.23,87704.59,1075,1800,0
2026.01.01 04:00,87704.50,87711.39,87379.42,87425.03,1596,1800,0
2026.01.01 05:00,87424.95,87594.18,87422.77,87553.71,1058,1800,0
2026.01.01 06:00,87553.49,87553.49,87474.04,87504.61,815,1800,0
2026.01.01 07:00,87506.00,87527.65,87433.24,87484.42,1101,1800,0
2026.01.01 08:00,87477.65,87658.23,87456.75,87613.83,1315,1800,0
2026.01.01 09:00,87613.92,87809.87,87591.77,87737.94,1220,1800,0
2026.01.01 10:00,87736.34,87747.41,87650.15,87725.65,1033,1800,0
2026.01.01 11:00,87724.24,87885.86,87702.90,87873.81,1353,1800,0
2026.01.01 12:00,87875.69,87902.61,87783.66,87796.47,1326,1800,0
2026.01.01 13:00,87804.68,87890.70,87716.71,87782.58,1236,1800,0
2026.01.01 14:00,87783.73,87854.82,87689.18,87834.78,1511,1800,0
2026.01.01 15:00,87834.47,88009.19,87801.41,87914.24,1613,1800,0
2026.01.01 16:00,87914.34,87934.86,87756.53,87874.59,1457,1800,0
2026.01.01 17:00,87874.68,88396.38,87846.15,88200.50,2175,1800,0
2026.01.01 18:00,88204.74,88250.87,87982.30,88072.49,1719,1800,0
2026.01.01 19:00,88072.39,88309.01,87946.90,88276.30,1501,1800,0
2026.01.01 20:00,88275.19,88276.95,88108.68,88147.12,1332,1800,0
2026.01.01 21:00,88147.20,88319.85,88122.85,88277.56,1156,1800,0
2026.01.01 22:00,88277.40,88581.82,88274.57,88527.31,1738,1800,0
2026.01.01 23:00,88530.38,88800.62,88346.50,88733.79,2406,1800,0
2026.01.02 00:00,88733.95,88791.57,88473.11,88732.15,2366,1800,0
2026.01.02 01:00,88738.04,88771.99,88421.92,88533.33,1743,1800,0
2026.01.02 02:00,88539.05,88574.01,88254.03,88530.81,1878,1800,0
2026.01.02 03:00,88534.19,89029.36,88458.57,88839.69,3048,1800,0
2026.01.02 04:00,88841.30,88892.15,88511.31,88536.74,1749,1800,0
2026.01.02 05:00,88535.52,88691.46,88460.13,88654.74,1317,1800,0
2026.01.02 06:00,88657.72,88990.17,88612.38,88833.89,1795,1800,0
2026.01.02 07:00,88841.36,88971.68,88720.94,88762.52,1588,1800,0
2026.01.02 08:00,88764.02,89093.60,88702.09,89060.69,1896,1800,0
2026.01.02 09:00,89055.93,89391.45,88984.80,89359.46,2998,1800,0
2026.01.02 10:00,89363.66,89841.38,89323.15,89563.09,3413,1800,0
2026.01.02 11:00,89565.72,89583.98,89258.70,89411.08,2387,1800,0
2026.01.02 12:00,89408.62,89502.89,89286.13,89315.52,2168,1800,0
2026.01.02 13:00,89313.09,89615.45,89224.21,89283.31,1995,1800,0
2026.01.02 14:00,89280.22,90095.98,88391.50,89520.50,9641,1800,0
2026.01.02 15:00,89520.38,89823.58,88729.31,89352.70,9988,1800,0
2026.01.02 16:00,89346.91,90806.58,89131.03,90315.29,9927,1800,0
2026.01.02 17:00,90314.02,90942.72,90151.39,90338.97,6817,1800,0
2026.01.02 18:00,90338.56,90525.47,89505.96,89725.00,5027,1800,0
2026.01.02 19:00,89727.42,90111.24,89595.24,89855.20,4822,1800,0
2026.01.02 20:00,89854.34,90031.43,89567.29,89678.52,3847,1800,0
2026.01.02 21:00,89680.11,90142.19,89666.00,90017.59,2142,1800,0
2026.01.02 22:00,90017.10,90371.97,89972.62,90159.46,2378,1800,0
2026.01.02 23:00,90159.30,90166.99,89853.60,89954.51,1547,1800,0
2026.01.03 00:00,89947.22,90157.43,89923.32,90118.31,1814,1800,0
2026.01.03 01:00,90117.68,90255.99,90025.61,90226.71,1631,1800,0
2026.01.03 02:00,90228.61,90371.84,90083.05,90283.32,1575,1800,0
2026.01.03 03:00,90282.19,90342.70,90151.61,90282.32,1523,1800,0
2026.01.03 04:00,90283.57,90449.62,89995.38,90123.64,1685,1800,0
2026.01.03 05:00,90128.72,90165.37,89876.85,89995.34,1524,1800,0
2026.01.03 06:00,89995.17,90102.03,89810.95,89830.72,1471,1800,0
2026.01.03 07:00,89830.46,89915.37,89263.59,89532.00,3130,1800,0
2026.01.03 08:00,89533.57,89800.88,89388.09,89625.18,2555,1800,0
2026.01.03 09:00,89628.61,89949.41,89587.28,89755.77,2319,1800,0
2026.01.03 10:00,89762.47,89838.98,89665.88,89713.85,1715,1800,0
2026.01.03 11:00,89716.40,89740.83,89628.20,89697.57,1302,1800,0
2026.01.03 12:00,89697.79,90004.84,89602.27,89989.17,1724,1800,0
2026.01.03 13:00,89971.34,90006.34,89864.99,89945.30,1566,1800,0
2026.01.03 14:00,89946.97,90192.08,89903.58,90078.47,1992,1800,0
2026.01.03 15:00,90078.26,90078.26,89906.90,89921.74,1545,1800,0
2026.01.03 16:00,89929.94,90167.15,89862.25,90059.37,1933,1800,0
2026.01.03 17:00,90055.33,90082.31,89969.73,90046.55,1267,1800,0
2026.01.03 18:00,90049.19,90143.01,89970.98,90087.59,1216,1800,0
2026.01.03 19:00,90090.69,90101.91,89997.50,90078.42,1221,1800,0
2026.01.03 20:00,90078.31,90323.19,89960.35,90301.49,1536,1800,0
2026.01.03 21:00,90299.88,90692.48,90277.71,90505.68,2003,1800,0
2026.01.03 22:00,90503.74,90693.04,90433.24,90549.23,1795,1800,0
2026.01.03 23:00,90549.40,90653.18,90408.96,90582.25,1715,1800,0
2026.01.04 00:00,90581.29,91585.66,90581.29,91281.40,5552,1800,0
2026.01.04 01:00,91282.69,91439.47,90959.40,91176.12,2630,1800,0
2026.01.04 02:00,91176.56,91262.44,91036.58,91098.04,1790,1800,0
2026.01.04 03:00,91098.14,91316.85,91039.04,91195.42,2031,1800,0
2026.01.04 04:00,91189.61,91552.93,91140.36,91354.03,2015,1800,0
2026.01.04 05:00,91360.77,91448.39,91294.50,91432.53,1663,1800,0
2026.01.04 06:00,91432.62,91780.14,91180.78,91195.63,3013,1800,0
2026.01.04 07:00,91199.02,91505.00,91169.72,91471.66,2146,1800,0
2026.01.04 08:00,91471.76,91501.11,91104.29,91319.26,2518,1800,0
2026.01.04 09:00,91319.14,91439.47,91206.11,91407.02,2137,1800,0
2026.01.04 10:00,91403.73,91586.90,91368.20,91548.81,2163,1800,0
2026.01.04 11:00,91548.49,91551.15,91190.61,91266.91,2009,1800,0
