month,net,balance,trades
2024-06,12.91,212.91,1
2024-07,375.44,588.35,5
2024-08,10.2,598.56,6
2024-09,28.87,627.43,5
2024-10,29.09,656.51,1
2024-11,-14.55,641.96,3
2024-12,23.47,665.43,3
2025-01,345.23,1010.66,13
2025-02,350.12,1360.78,1
2025-03,63.2,1423.98,3
2025-04,436.65,1860.63,2
2025-05,2.09,1862.72,6
2025-06,95.96,1958.67,8
2025-07,462.16,2420.83,9
2025-08,940.99,3361.82,7
2025-09,5.67,3367.49,4
2025-10,127.06,3494.55,7
2025-11,284.49,3779.04,9
2025-12,1958.1,5737.14,5
2026-01,-389.48,5347.66,9
2026-02,257.19,5604.85,7
2026-03,650.77,6255.62,1
2026-04,1190.12,7445.74,9
2026-05,-96.35,7349.39,4
