month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,325.48,557.74,7
2024-08,30.59,588.34,5
2024-09,47.22,635.56,6
2024-10,141.79,777.35,1
2024-11,-23.29,754.06,3
2024-12,193.64,947.7,1
2025-01,429.66,1377.36,14
2025-02,-305.11,1072.26,4
2025-03,625.98,1698.24,7
2025-04,436.65,2134.89,2
2025-05,329.5,2464.39,4
2025-06,1179.14,3643.53,3
2025-07,420.68,4064.21,11
2025-08,1097.97,5162.18,7
2025-09,102.95,5265.13,4
2025-10,-9.82,5255.31,6
2025-11,988.96,6244.27,3
2025-12,1390.73,7635.0,5
2026-01,241.32,7876.32,12
2026-02,104.79,7981.12,11
2026-03,223.7,8204.82,1
2026-04,68.29,8273.1,2
2026-05,-160.93,8112.18,3
