month,net,balance,trades
2024-06,-14.4,185.6,25
2024-07,-0.21,185.39,3
2024-08,144.57,329.96,19
2024-09,13.62,343.58,4
2024-10,-0.64,342.94,7
2024-11,-70.73,272.22,21
2024-12,81.8,354.02,15
2025-01,50.91,404.93,27
2025-02,-1.05,403.88,3
2025-03,0.89,404.77,6
2025-04,318.82,723.59,27
2025-05,-34.0,689.59,33
2025-06,22.92,712.51,13
2025-07,209.48,921.99,18
2025-08,817.25,1739.24,41
2025-09,52.61,1791.85,27
2025-10,334.13,2125.99,16
2025-11,352.5,2478.49,17
2025-12,1775.09,4253.58,31
2026-01,303.79,4557.37,53
2026-02,301.49,4858.86,9
2026-03,230.82,5089.68,16
2026-04,1008.27,6097.95,47
2026-05,47.08,6145.03,38
