month,net,balance,trades
2024-06,-6.19,193.81,11
2024-07,-38.8,155.01,16
2024-08,23.58,178.59,16
2024-09,5.38,183.97,5
2024-10,8.9,192.87,4
2024-11,-28.05,164.82,9
2024-12,10.72,175.54,3
2025-01,-144.57,30.97,15
2025-02,1.1,32.07,4
2025-03,-3.24,28.83,4
2025-04,98.6,127.43,4
2025-05,15.11,142.54,10
2025-06,10.45,153.0,26
2025-07,-137.94,15.06,4
2025-08,0.31,15.37,2
2025-09,-0.47,14.9,2
2025-10,-1.53,13.38,5
2025-11,-3.08,10.29,1
2025-12,6.65,16.94,5
2026-01,13.81,30.75,6
2026-02,126.45,157.21,2
2026-03,21.67,178.87,10
2026-04,6.31,185.18,20
2026-05,-1.42,183.76,2
