month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,328.97,561.24,8
2024-08,30.59,591.83,5
2024-09,-9.43,582.4,5
2024-10,141.79,724.19,1
2024-11,-45.35,678.84,3
2024-12,193.64,872.48,1
2025-01,13.35,885.82,4
2025-02,298.63,1184.45,1
2025-03,690.05,1874.51,7
2025-04,436.65,2311.16,2
2025-05,21.32,2332.48,7
2025-06,998.45,3330.92,3
2025-07,463.58,3794.5,5
2025-08,1580.59,5375.09,7
2025-09,71.72,5446.81,4
2025-10,149.92,5596.73,4
2025-11,298.96,5895.68,9
2025-12,1987.96,7883.65,4
2026-01,-1722.86,6160.79,23
2026-02,235.67,6396.45,4
2026-03,221.63,6618.08,1
2026-04,42.68,6660.76,2
2026-05,-92.5,6568.26,3
