month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,325.48,557.74,7
2024-08,30.59,588.34,5
2024-09,35.38,623.72,6
2024-10,141.79,765.51,1
2024-11,-14.91,750.6,3
2024-12,193.64,944.24,1
2025-01,404.34,1348.57,14
2025-02,-570.98,777.59,23
2025-03,41.62,819.21,3
2025-04,301.59,1120.8,2
2025-05,170.38,1291.17,4
2025-06,1185.61,2476.78,3
2025-07,390.24,2867.02,11
2025-08,1085.69,3952.72,7
2025-09,3.54,3956.26,4
2025-10,-78.22,3878.04,6
2025-11,618.1,4496.14,3
2025-12,1614.69,6110.83,5
2026-01,-346.47,5764.36,9
2026-02,130.55,5894.91,11
2026-03,223.7,6118.61,1
2026-04,63.61,6182.22,2
2026-05,-3.3,6178.91,4
