month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,325.48,557.74,7
2024-08,14.99,572.74,5
2024-09,82.67,655.4,6
2024-10,141.79,797.19,1
2024-11,-51.07,746.12,3
2024-12,193.64,939.76,1
2025-01,407.41,1347.17,14
2025-02,-292.97,1054.2,4
2025-03,-18.37,1035.83,8
2025-04,436.65,1472.48,2
2025-05,14.22,1486.7,7
2025-06,1052.76,2539.46,3
2025-07,464.53,3003.99,5
2025-08,1851.6,4855.59,7
2025-09,73.0,4928.59,4
2025-10,-17.57,4911.02,6
2025-11,923.03,5834.04,3
2025-12,1390.73,7224.77,5
2026-01,278.42,7503.19,12
2026-02,118.09,7621.28,11
2026-03,341.21,7962.49,1
2026-04,68.29,8030.78,2
2026-05,6.45,8037.22,4
