ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
2,2026-04-26 22:19:30,2026-04-26,22,XAUUSDm,sell,WT V11XAU S x1.8,ob,0.03,,4688.234,4689.751,4685.776,4687.402,MARKET_CLOSE,market_close,1.5169999999998254,0.5484508899145883,0.717,0,,16,0.189,-0.944,4688.851,4688.542,2026-04-26 22:20:13,,,,,,,,,,,,,,,,,,,,,,,,,0.02496000000001004
3,2026-04-26 22:20:02,2026-04-26,22,XAUUSDm,sell,WT V11XAU S x1.8,ob,0.01,,4688.325,4689.377,4685.867,4687.789,MARKET_CLOSE,market_close,1.0520000000005894,0.5095057034218231,0.133,0,,2,0.218,-1.0,4688.99,4688.633,2026-04-26 22:20:10,,,,,,,,,,,,,,,,,,,,,,,,,0.005360000000000582
6,2026-05-01 02:00:01,2026-05-01,2,XAUUSDm,buy,WT V11XAU B x0.9,ob,0.02,,4620.719,4619.366,4622.284,4622.297,TP,tp,1.3530000000000655,1.1662971175162182,2.133,0,,1,0.328,-0.367,4620.069,4620.411,2026-05-01 02:02:09,,,,,,,,,,,,,,,,,,,,,,,,,0.031559999999990394
7,2026-05-01 02:01:03,2026-05-01,2,XAUUSDm,buy,WT V11XAU B x0.6,ob,0.01,,4620.617,4619.348,4622.182,4622.232,TP,tp,1.2690000000002328,1.2726556343573565,1.1,0,,3,0.223,-0.465,4620.076,4620.309,2026-05-01 02:02:09,,,,,,,,,,,,,,,,,,,,,,,,,0.01614999999999782
10,2026-05-01 02:50:19,2026-05-01,2,XAUUSDm,buy,WT V11XAU B x0.9,ob,0.03,,4620.109,4619.222,4621.674,4620.553,MARKET_CLOSE,market_close,0.8870000000006257,0.5005636978570372,0.033,0,,1,0.198,-0.925,4619.623,4619.829,2026-05-01 02:50:21,,,,,,,,,,,,,,,,,,,,,,,,,0.013319999999985156
12,2026-05-01 02:51:05,2026-05-01,2,XAUUSDm,buy,WT V11XAU B x0.6,ob,0.01,,4620.412,4619.236,4621.977,4619.166,SL,sl,1.1760000000003856,-1.0595238095235424,1.667,0,,5,0.195,-0.662,4619.901,4620.104,2026-05-01 02:52:45,,,,,,,,,,,,,,,,,,,,,,,,,-0.012460000000000946
13,2026-05-01 02:52:03,2026-05-01,2,XAUUSDm,buy,WT V11XAU B x0.6,ob,0.01,,4620.553,4619.268,4622.118,4619.166,SL,sl,1.2849999999998545,-1.0793774319065161,0.7,0,,2,0.227,-0.526,4620.008,4620.245,2026-05-01 02:52:45,,,,,,,,,,,,,,,,,,,,,,,,,-0.013869999999997162
16,2026-05-01 02:54:02,2026-05-01,2,XAUUSDm,buy,WT V11XAU B x0.9,ob,0.01,,4620.63,4619.202,4622.195,4619.18,SL,sl,1.4279999999998836,-1.0154061624649413,0.5,0,,1,0.329,-0.453,4619.979,4620.322,2026-05-01 02:54:32,,,,,,,,,,,,,,,,,,,,,,,,,-0.014499999999998181
18,2026-05-01 02:55:02,2026-05-01,2,XAUUSDm,buy,WT V11XAU B x0.9,ob,0.03,,4620.133,4619.198,4621.698,4619.154,SL,sl,0.9349999999994907,-1.0470588235292972,0.533,0,,2,0.182,-0.929,4619.635,4619.825,2026-05-01 02:55:34,,,,,,,,,,,,,,,,,,,,,,,,,-0.02936999999998079
20,2026-05-01 02:56:57,2026-05-01,2,XAUUSDm,buy,WT V11XAU B x0.9,ob,0.02,,4617.443,4616.263,4618.859,4618.955,TP,tp,1.180000000000291,1.2813559322028334,1.967,0,,1,0.264,-0.528,4616.914,4617.163,2026-05-01 02:58:55,,,,,,,,,,,,,,,,,,,,,,,,,0.030239999999994327
21,2026-05-01 02:57:11,2026-05-01,2,XAUUSDm,buy,WT V11XAU B x0.9,ob,0.02,,4617.532,4616.199,4618.948,4618.955,TP,tp,1.3330000000005384,1.0675168792192045,1.733,0,,2,0.294,-0.463,4616.946,4617.224,2026-05-01 02:58:55,,,,,,,,,,,,,,,,,,,,,,,,,0.02845999999999549
24,2026-05-01 03:03:03,2026-05-01,3,XAUUSDm,buy,WT V11XAU B x0.9,ob,0.02,,4620.67,4619.284,4622.235,4619.275,SL,sl,1.386000000000422,-1.006493506493515,0.4,0,,3,0.302,-0.387,4620.075,4620.39,2026-05-01 03:03:27,,,,,,,,,,,,,,,,,,,,,,,,,-0.02790000000000873
26,2026-05-01 03:11:02,2026-05-01,3,XAUUSDm,buy,WT V11XAU B x0.9,ob,0.03,,4620.229,4619.338,4621.794,4619.31,SL,sl,0.8910000000005311,-1.0314253647579363,1.433,0,,2,0.208,-0.837,4619.704,4619.921,2026-05-01 03:12:28,,,,,,,,,,,,,,,,,,,,,,,,,-0.02756999999999607
