month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,20.61,252.88,7
2024-08,11.58,264.46,9
2024-09,26.81,291.27,5
2024-10,101.8,393.07,1
2024-11,-26.84,366.22,3
2024-12,119.16,485.38,1
2025-01,1.9,487.29,4
2025-02,154.46,641.75,1
2025-03,333.82,975.57,2
2025-04,301.59,1277.16,2
2025-05,8.79,1285.95,7
2025-06,1072.25,2358.19,3
2025-07,-111.79,2246.4,8
2025-08,1271.15,3517.55,5
2025-09,238.33,3755.89,4
2025-10,-119.22,3636.67,6
2025-11,726.92,4363.59,3
2025-12,1614.14,5977.73,5
2026-01,-151.84,5825.89,8
2026-02,58.63,5884.52,11
2026-03,62.53,5947.05,1
2026-04,127.68,6074.73,2
2026-05,21.81,6096.54,3
