month,net,balance,trades
2024-06,12.91,212.91,1
2024-07,350.52,563.43,9
2024-08,10.2,573.64,6
2024-09,15.01,588.64,8
2024-10,79.99,668.63,1
2024-11,-18.1,650.52,4
2024-12,23.47,673.99,3
2025-01,10.25,684.24,4
2025-02,34.82,719.06,3
2025-03,48.36,767.42,4
2025-04,301.59,1069.01,2
2025-05,63.2,1132.21,9
2025-06,480.45,1612.66,6
2025-07,2.16,1614.82,12
2025-08,942.67,2557.49,11
2025-09,45.02,2602.51,4
2025-10,405.23,3007.74,3
2025-11,453.5,3461.24,12
2025-12,1423.5,4884.75,6
2026-01,-188.07,4696.68,20
2026-02,123.25,4819.93,2
2026-03,406.73,5226.66,1
2026-04,292.74,5519.4,3
2026-05,-52.62,5466.78,5
