month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,339.33,571.59,7
2024-08,73.1,644.69,5
2024-09,89.71,734.41,6
2024-10,141.79,876.2,1
2024-11,-50.94,825.26,3
2024-12,193.64,1018.89,1
2025-01,-128.64,890.25,5
2025-02,247.14,1137.39,1
2025-03,-2.12,1135.27,8
2025-04,301.59,1436.86,2
2025-05,4.61,1441.47,7
2025-06,1066.3,2507.77,3
2025-07,465.29,2973.06,5
2025-08,1812.99,4786.05,7
2025-09,65.92,4851.97,4
2025-10,-28.11,4823.86,6
2025-11,618.1,5441.96,3
2025-12,1614.69,7056.65,5
2026-01,-34.8,7021.85,4
2026-02,-7.71,7014.13,2
2026-03,223.7,7237.84,1
2026-04,30.86,7268.69,2
2026-05,-15.1,7253.59,3
