month,net,balance,trades
2024-06,6.45,206.45,1
2024-07,352.23,558.68,6
2024-08,-1.78,556.9,6
2024-09,18.51,575.4,4
2024-10,58.17,633.57,1
2024-11,-11.89,621.68,3
2024-12,16.51,638.2,3
2025-01,138.46,776.65,13
2025-02,51.57,828.22,2
2025-03,41.6,869.82,3
2025-04,301.59,1171.41,2
2025-05,16.68,1188.08,6
2025-06,206.0,1394.09,3
2025-07,-135.99,1258.09,6
2025-08,766.09,2024.19,7
2025-09,21.14,2045.33,4
2025-10,353.07,2398.4,3
2025-11,274.14,2672.53,15
2025-12,1842.39,4514.92,5
2026-01,353.68,4868.6,12
2026-02,324.4,5193.01,7
2026-03,406.73,5599.74,1
2026-04,496.06,6095.79,15
2026-05,-65.32,6030.48,4
