month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,241.2,473.46,7
2024-08,0.6,474.07,5
2024-09,-20.68,453.39,4
2024-10,141.79,595.18,1
2024-11,-39.48,555.7,3
2024-12,49.12,604.82,3
2025-01,0.93,605.75,4
2025-02,25.47,631.22,2
2025-03,96.8,728.02,3
2025-04,301.59,1029.61,2
2025-05,-108.34,921.28,7
2025-06,179.35,1100.63,3
2025-07,-77.74,1022.89,6
2025-08,66.03,1088.91,8
2025-09,27.22,1116.13,5
2025-10,99.57,1215.7,5
2025-11,-159.15,1056.55,17
2025-12,360.69,1417.24,5
2026-01,-205.83,1211.41,9
2026-02,225.89,1437.3,6
2026-03,95.62,1532.93,2
2026-04,7.59,1540.52,2
2026-05,-14.59,1525.93,3
