month,net,balance,trades
2024-06,-7.82,192.18,3
2024-07,201.6,393.78,7
2024-08,43.56,437.34,4
2024-09,3.49,440.82,5
2024-10,-11.48,429.35,4
2024-11,-1.47,427.88,3
2024-12,61.86,489.75,5
2025-01,25.29,515.04,2
2025-02,202.62,717.65,1
2025-03,98.62,816.27,3
2025-04,301.59,1117.86,2
2025-05,62.46,1180.32,12
2025-06,928.3,2108.62,7
2025-07,-940.54,1168.08,34
2025-08,251.35,1419.43,11
2025-09,7.25,1426.68,5
2025-10,-17.42,1409.26,4
2025-11,434.5,1843.76,5
2025-12,314.26,2158.02,6
2026-01,214.06,2372.08,6
2026-02,-206.36,2165.72,2
2026-03,202.51,2368.23,3
2026-04,60.54,2428.77,2
2026-05,-123.89,2304.88,5
