month,net,balance,trades
2024-06,0.35,200.35,12
2024-07,358.42,558.78,12
2024-08,29.49,588.26,6
2024-09,10.72,598.99,4
2024-10,24.7,623.69,8
2024-11,-62.72,560.97,21
2024-12,136.62,697.59,18
2025-01,242.38,939.97,29
2025-02,-221.87,718.1,30
2025-03,3.17,721.27,12
2025-04,319.97,1041.24,27
2025-05,-50.64,990.61,30
2025-06,14.56,1005.17,36
2025-07,-91.17,914.0,13
2025-08,185.3,1099.31,40
2025-09,37.96,1137.27,27
2025-10,98.16,1235.43,11
2025-11,-89.28,1146.14,3
2025-12,482.2,1628.35,31
2026-01,-255.54,1372.81,49
2026-02,1427.44,2800.24,41
2026-03,129.17,2929.41,16
2026-04,702.5,3631.91,40
2026-05,47.08,3678.99,38
