month,net,balance,trades
2024-06,12.91,212.91,1
2024-07,355.42,568.32,6
2024-08,10.2,578.53,6
2024-09,36.65,615.17,5
2024-10,105.44,720.61,1
2024-11,-23.78,696.83,3
2024-12,39.27,736.1,3
2025-01,6.09,742.19,4
2025-02,-215.29,526.9,17
2025-03,43.32,570.21,3
2025-04,301.59,871.8,2
2025-05,3.46,875.26,6
2025-06,92.19,967.46,8
2025-07,-87.17,880.29,6
2025-08,216.55,1096.84,7
2025-09,18.72,1115.55,4
2025-10,89.37,1204.93,5
2025-11,-81.09,1123.83,18
2025-12,342.03,1465.86,5
2026-01,-199.63,1266.23,9
2026-02,359.87,1626.1,6
2026-03,317.25,1943.35,1
2026-04,557.17,2500.52,6
2026-05,-70.45,2430.07,4
