month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,369.75,602.02,4
2024-08,36.61,638.62,5
2024-09,-43.88,594.74,1
2024-10,0.0,594.74,0
2024-11,-38.53,556.21,2
2024-12,188.67,744.88,1
2025-01,-108.48,636.4,4
2025-02,205.95,842.35,1
2025-03,140.53,982.88,3
2025-04,301.59,1284.47,2
2025-05,351.89,1636.36,1
2025-06,1190.63,2826.99,2
2025-07,-63.68,2763.31,5
2025-08,1700.4,4463.71,7
2025-09,21.63,4485.34,2
2025-10,-21.02,4464.32,6
2025-11,618.1,5082.42,3
2025-12,1390.73,6473.16,5
2026-01,-296.51,6176.65,8
2026-02,131.09,6307.74,11
2026-03,223.7,6531.44,1
2026-04,64.39,6595.83,2
2026-05,-5.85,6589.98,4
