ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
110,,,,,,,,,,,,,107237.62,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-07-01 04:25:00,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,107459.66,SL,sl,,,,,,,,,,,,,2025-11-03 10:03:36,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,92682.31,TP,tp,,,,,,,,,,,,,2026-01-06 16:34:20,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,73009.22,MARKET_CLOSE,market_close,,,,,,,,,,,,,2026-04-11 03:34:21,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,77271.66,MARKET_CLOSE,market_close,,,,,,,,,,,,,2026-04-18 01:35:07,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,73566.57,TP,tp,,,,,,,,,,,,,2026-05-29 05:47:30,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-13 15:11:33,2024-06-13,15,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.4,ob,0.01,,67440.29,67938.1,65847.31,66794.96,MARKET_CLOSE,market_close,497.8100000000122,1.2963379602659073,98.45,0,,16,0.261,-0.414,67516.18,67474.68,,,2024-06-13 16:50:00,,,,,,,,,,,,,,,,,,,,,,,,,6.453299999999872
4,2024-07-07 08:05:28,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.4,ob,0.03,,57491.83,57743.51,56034.12,57744.55,SL,sl,251.6800000000003,-1.004132231404962,58.017,0,,28,0.26,-0.759,57542.1,57523.43,,,2024-07-07 09:03:29,,,,,,,,,,,,,,,,,,,,,,,,,-7.5816000000000345
5,2024-07-07 08:41:15,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.2,ob,0.01,,57483.59,57705.96,56034.12,57707.64,SL,sl,222.37000000000262,-1.0075549759410005,12.367,0,,75,0.256,-0.676,57535.89,57517.49,,,2024-07-07 08:53:37,,,,,,,,,,,,,,,,,,,,,,,,,-2.2405000000000292
8,2024-07-12 22:26:00,2024-07-12,22,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.1,ob,0.01,,57781.55,57946.66,56540.47,57946.91,SL,sl,165.11000000000058,-1.0015141420870934,80.6,0,,60,0.277,-0.987,57835.11,57809.78,,,2024-07-12 23:46:36,,,,,,,,,,,,,,,,,,,,,,,,,-1.653600000000006
10,2024-07-15 20:00:19,2024-07-15,20,BTCUSDm,buy,WT V11-BTC1-TREND130 B x7.8,ob,0.38,,63442.16,63092.89,64559.82,64490.38,MARKET_CLOSE,market_close,349.2700000000041,3.0011738769432865,160.283,0,,19,0.251,-1.049,63396.64,63418.29,,,2024-07-15 22:40:36,,,,,,,,,,,,,,,,,,,,,,,,,398.32359999999767
11,2024-07-15 22:40:36,2024-07-15,22,BTCUSDm,buy,WT V11-BTC1-TREND130 B x7.8,ob,0.6,,64512.79,64233.37,,64484.26,MARKET_CLOSE,market_close,279.41999999999825,-0.10210435902941455,3.917,0,,,,,,,,,2024-07-15 22:44:31,,,,,,,,,,,,,,,,,,,,,,,,True,-17.117999999999302
12,2024-07-15 22:40:36,2024-07-15,22,BTCUSDm,buy,WT V11-BTC1-TREND130 B x7.8,ob,0.6,,64514.71,64235.29,,64485.54,MARKET_CLOSE,market_close,279.41999999999825,-0.10439481783694236,3.1,0,,,,,,,,,2024-07-15 22:43:42,,,,,,,,,,,,,,,,,,,,,,,,True,-17.50199999999895
16,2024-08-06 14:03:03,2024-08-06,14,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.1,ob,0.01,,55468.31,56065.64,,56065.72,SL,sl,597.3300000000017,-1.000133929318805,2.617,0,,21,0.255,-0.457,55517.92,55488.69,,,2024-08-06 14:05:40,,,,,,,,,,,,,,,,,,,,,,,,,-5.9741000000000355
18,2024-08-09 14:30:21,2024-08-09,14,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.6,ob,0.06,,60355.38,60880.01,55109.12,60355.42,SL,sl,524.6300000000047,-7.624421020695111e-05,22.3,0,,21,0.254,-1.048,60425.73,60380.58,,,2024-08-09 14:52:39,,,,,,,,,,,,,,,,,,,,,,,,,-0.0024000000000523867
20,2024-08-12 16:03:01,2024-08-12,16,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.2,ob,0.01,,60345.24,60959.81,,59033.51,MARKET_CLOSE,market_close,614.5699999999997,2.1343866443204136,188.633,0,,33,0.255,-1.037,60423.6,60372.56,,,2024-08-12 19:11:39,,,,,,,,,,,,,,,,,,,,,,,,,13.11729999999996
21,2024-08-12 16:20:17,2024-08-12,16,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.2,ob,0.01,,59777.57,60269.22,,59341.11,MARKET_CLOSE,market_close,491.65000000000146,0.8877453472999041,99.717,0,,,,,,,,,2024-08-12 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,True,4.364599999999991
23,2024-08-12 18:50:20,2024-08-12,18,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.2,ob,0.01,,58661.69,59153.34,,59154.52,SL,sl,491.6499999999942,-1.0024000813586909,25.3,0,,,,,,,,,2024-08-12 19:15:38,,,,,,,,,,,,,,,,,,,,,,,,True,-4.928299999999945
26,2024-08-22 12:16:57,2024-08-22,12,BTCUSDm,buy,WT V11-BTC1-TREND130 B x2.0,ob,0.39,,61156.84,60961.8,61841.63,61135.4,MARKET_CLOSE,market_close,195.0399999999936,-0.10992616899095445,15.383,0,,28,0.255,-0.694,61117.66,61132.03,,,2024-08-22 12:32:20,,,,,,,,,,,,,,,,,,,,,,,,,-8.36159999999807
28,2024-09-10 10:40:19,2024-09-10,10,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.1,ob,0.02,,57172.76,57318.09,,57187.61,MARKET_CLOSE,market_close,145.32999999999447,-0.10218124268904638,66.117,0,,19,0.253,-1.328,57210.33,57194.73,,,2024-09-10 11:46:26,,,,,,,,,,,,,,,,,,,,,,,,,-0.2969999999999709
30,2024-09-18 01:28:34,2024-09-18,1,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.1,ob,0.02,,60237.02,60548.29,57495.5,60550.47,SL,sl,311.2700000000041,-1.0070035660359182,95.867,0,,57,0.26,-0.555,60305.65,60257.57,,,2024-09-18 03:04:26,,,,,,,,,,,,,,,,,,,,,,,,,-6.269000000000087
31,2024-09-18 01:49:39,2024-09-18,1,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.0,ob,0.01,,60151.82,59937.99,,60534.55,MARKET_CLOSE,market_close,213.83000000000175,1.789879811064865,75.95,0,,132,0.258,-1.225,60103.61,60131.4,,,2024-09-18 03:05:36,,,,,,,,,,,,,,,,,,,,,,,,,3.827300000000032
34,2024-09-25 00:55:17,2024-09-25,0,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.1,ob,0.03,,64054.38,63862.54,64761.63,64762.55,TP,tp,191.8399999999965,3.691461634695676,44.383,0,,17,0.272,-1.03,64014.35,64028.44,,,2024-09-25 01:39:40,,,,,,,,,,,,,,,,,,,,,,,,,21.245100000000164
36,2024-10-05 01:15:30,2024-10-05,1,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.4,ob,0.16,,62147.85,62268.87,60937.61,61784.28,MARKET_CLOSE,market_close,121.02000000000407,3.0042141794743635,105.95,0,,30,0.261,-0.977,62187.11,62171.49,,,2024-10-05 03:01:27,,,,,,,,,,,,,,,,,,,,,,,,,58.171199999999956
38,2024-11-04 11:31:20,2024-11-04,11,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.0,ob,0.01,,68774.44,68946.87,,68793.29,MARKET_CLOSE,market_close,172.42999999999302,-0.10931972394590288,36.167,0,,53,0.262,-1.599,68812.22,68796.89,,,2024-11-04 12:07:30,,,,,,,,,,,,,,,,,,,,,,,,,-0.18849999999991268
40,2024-11-09 01:00:26,2024-11-09,1,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.2,ob,0.08,,76423.36,76303.32,76632.48,76410.13,MARKET_CLOSE,market_close,120.0399999999936,-0.11021326224588997,15.217,0,,26,0.269,-1.676,76388.08,76401.39,,,2024-11-09 01:15:39,,,,,,,,,,,,,,,,,,,,,,,,,-1.058399999999674
42,2024-11-17 04:05:29,2024-11-17,4,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.2,ob,0.04,,90194.77,90460.07,89345.82,90460.85,SL,sl,265.3000000000029,-1.0029400678477152,6.2,0,,29,0.253,-0.918,90264.27,90220.26,,,2024-11-17 04:11:41,,,,,,,,,,,,,,,,,,,,,,,,,-10.64320000000007
44,2024-12-15 09:16:02,2024-12-15,9,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.1,ob,0.03,,101977.46,102160.25,100545.07,102161.91,SL,sl,182.7899999999936,-1.0090814595984656,29.3,0,,35,0.255,-0.666,102024.16,102006.26,,,2024-12-15 09:45:20,,,,,,,,,,,,,,,,,,,,,,,,,-5.533499999999912
46,2024-12-16 10:31:03,2024-12-16,10,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.1,ob,0.02,,104368.3,104589.0,102161.33,104589.97,SL,sl,220.6999999999971,-1.004395106479389,11.583,0,,33,0.258,-0.916,104413.57,104397.1,,,2024-12-16 10:42:38,,,,,,,,,,,,,,,,,,,,,,,,,-4.433399999999965
48,2024-12-16 11:30:13,2024-12-16,11,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.2,ob,0.04,,104358.86,104579.12,102156.23,103696.9,MARKET_CLOSE,market_close,220.25999999999476,3.0053573050032787,23.45,0,,13,0.253,-0.769,104403.81,104387.66,,,2024-12-16 11:53:40,,,,,,,,,,,,,,,,,,,,,,,,,26.478400000000256
50,2025-01-02 14:45:45,2025-01-02,14,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.3,ob,0.06,,96957.55,97310.27,,97310.28,SL,sl,352.72000000000116,-1.0000283511000079,8.867,0,,45,0.252,-3.446,97004.77,96986.35,,,2025-01-02 14:54:37,,,,,,,,,,,,,,,,,,,,,,,,,-21.163799999999753
52,2025-01-03 14:52:17,2025-01-03,14,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.2,ob,0.03,,96765.52,96445.0,,97221.42,MARKET_CLOSE,market_close,320.5200000000041,1.4223761387744551,18.983,0,,64,0.255,-1.193,96678.69,96736.72,,,2025-01-03 15:11:16,,,,,,,,,,,,,,,,,,,,,,,,,13.676999999999826
54,2025-01-05 14:40:57,2025-01-05,14,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.0,ob,0.01,,97542.95,97363.71,98000.55,97834.62,MARKET_CLOSE,market_close,179.2399999999907,1.627259540281262,16.717,0,,57,0.257,-1.438,97493.37,97513.96,,,2025-01-05 14:57:40,,,,,,,,,,,,,,,,,,,,,,,,,2.9166999999999828
56,2025-01-06 23:09:18,2025-01-06,23,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.5,ob,0.16,,102172.78,102378.15,,102194.35,MARKET_CLOSE,market_close,205.36999999999534,-0.1050299459512464,34.033,0,,49,0.264,-1.297,102224.93,102201.58,,,2025-01-06 23:43:20,,,,,,,,,,,,,,,,,,,,,,,,,-3.451200000001118
58,2025-01-09 19:38:17,2025-01-09,19,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.2,ob,0.03,,92751.01,92379.51,96466.0,92378.37,SL,sl,371.5,-1.003068640646028,9.4,0,,50,0.256,-0.851,92698.13,92722.03,,,2025-01-09 19:47:41,,,,,,,,,,,,,,,,,,,,,,,,,-11.179199999999982
60,2025-01-10 15:42:01,2025-01-10,15,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.4,ob,0.04,,94298.1,94874.94,91120.14,94358.6,MARKET_CLOSE,market_close,576.8399999999965,-0.10488176964149568,5.5,0,,94,0.252,-1.935,94388.68,94327.08,,,2025-01-10 15:47:31,,,,,,,,,,,,,,,,,,,,,,,,,-2.42
62,2025-01-16 16:00:20,2025-01-16,16,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.2,ob,0.02,,99292.08,99771.95,,99772.71,SL,sl,479.86999999999534,-1.0015837622689672,6.7,0,,111,0.255,-2.131,99366.41,99320.88,,,2025-01-16 16:07:02,,,,,,,,,,,,,,,,,,,,,,,,,-9.612600000000093
64,2025-01-18 07:15:03,2025-01-18,7,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.3,ob,0.04,,103036.48,102660.61,103599.23,102658.91,SL,sl,375.86999999999534,-1.004522840343728,22.65,0,,36,0.261,-0.888,102971.28,103007.68,,,2025-01-18 07:37:42,,,,,,,,,,,,,,,,,,,,,,,,,-15.102799999999698
66,2025-01-18 08:35:20,2025-01-18,8,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.3,ob,0.03,,103020.97,102615.0,103599.23,102979.88,MARKET_CLOSE,market_close,405.97000000000116,-0.10121437544645266,96.283,0,,20,0.263,-0.999,102955.5,102992.17,,,2025-01-18 10:11:37,,,,,,,,,,,,,,,,,,,,,,,,,-1.232699999999895
68,2025-01-18 11:31:28,2025-01-18,11,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.2,ob,0.04,,103257.78,102935.23,,103767.56,MARKET_CLOSE,market_close,322.5500000000029,1.5804681444737072,54.0,0,,51,0.252,-0.62,103197.17,103228.98,,,2025-01-18 12:25:28,,,,,,,,,,,,,,,,,,,,,,,,,20.391199999999955
70,2025-01-18 13:07:35,2025-01-18,13,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.8,ob,0.13,,103263.76,102932.65,105888.63,104258.31,MARKET_CLOSE,market_close,331.1100000000006,3.003684576122742,50.083,0,,59,0.252,-0.573,103203.23,103234.96,,,2025-01-18 13:57:40,,,,,,,,,,,,,,,,,,,,,,,,,129.29150000000038
71,2025-01-18 13:37:25,2025-01-18,13,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.8,ob,0.23,,103798.9,103534.01,,103878.32,SL,sl,264.8899999999994,0.2998225678584053,57.9,0,,,,,,,,,2025-01-18 14:35:19,,,,,,,,,,,,,,,,,,,,,,,,True,18.266600000002946
72,2025-01-18 13:41:15,2025-01-18,13,BTCUSDm,buy,WT V11-BTC1-TREND130 B x0.8,ob,0.23,,103855.8,103590.91,,103934.39,SL,sl,264.8899999999994,0.296689191739955,53.383,0,,,,,,,,,2025-01-18 14:34:38,,,,,,,,,,,,,,,,,,,,,,,,True,18.0756999999992
76,2025-02-04 16:15:20,2025-02-04,16,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.5,ob,0.04,,99873.59,100661.7,,99131.79,MARKET_CLOSE,market_close,788.1100000000006,0.9412391671213439,100.667,0,,20,0.254,-1.042,99954.12,99902.58,,,2025-02-04 17:56:00,,,,,,,,,,,,,,,,,,,,,,,,,29.672000000000118
78,2025-02-12 16:05:13,2025-02-12,16,BTCUSDm,sell,WT V11-BTC1-TREND130 S x1.0,ob,0.17,,95722.22,96153.41,94342.4,95593.43,SL,sl,431.1900000000023,0.2986850344395915,27.233,0,,13,0.254,-1.482,95802.13,95751.21,,,2025-02-12 16:32:27,,,,,,,,,,,,,,,,,,,,,,,,,21.894300000001387
80,2025-03-13 10:30:00,2025-03-13,10,BTCUSDm,sell,WT V11-BTC1-TREND130 S x0.1,ob,0.01,,83298.87,83574.75,80631.47,83326.91,MARKET_CLOSE,market_close,275.88000000000466,-0.10163839350445003,23.233,0,,20,0.251,-0.546,83335.92,83322.03,,,2025-03-13 10:53:14,,,,,,,,,,,,,,,,,,,,,,,,,-0.2804000000000815
