ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
5,,,,,,,,,,,,,71123.16,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-06-05 18:56:03,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,64313.57,SL,sl,,,,,,,,,,,,,2024-07-19 06:05:28,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,61170.2,TP,tp,,,,,,,,,,,,,2024-08-23 12:52:39,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,61993.25,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-08-27 20:40:00,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,60889.46,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-10-03 11:19:19,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,97617.9,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-11-29 20:43:30,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,96585.81,SL,sl,,,,,,,,,,,,,2024-11-30 03:24:35,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,97720.31,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-01-04 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,105203.18,SL,sl,,,,,,,,,,,,,2025-01-19 07:04:37,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,94196.86,SL,sl,,,,,,,,,,,,,2025-05-05 20:51:21,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,94198.4,SL,sl,,,,,,,,,,,,,2025-05-05 20:51:26,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,105201.49,TP,tp,,,,,,,,,,,,,2025-06-04 11:34:41,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,104800.14,SL,sl,,,,,,,,,,,,,2025-06-04 20:03:41,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,104668.38,SL,sl,,,,,,,,,,,,,2025-06-05 10:54:41,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,107237.62,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-07-01 04:25:00,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,107774.06,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-07-08 02:55:00,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,116231.67,SL,sl,,,,,,,,,,,,,2025-09-13 01:14:39,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,92497.49,SL,sl,,,,,,,,,,,,,2025-12-10 00:16:35,,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,93816.22,SL,sl,,,,,,,,,,,,,2026-01-06 14:06:34,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,91992.36,SL,sl,,,,,,,,,,,,,2026-01-07 11:03:53,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,66280.63,MARKET_CLOSE,market_close,,,,,,,,,,,,,2026-03-28 11:55:30,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-05 18:23:47,2024-06-05,18,BTCUSDm,buy,WT V11-BTC1-TREND200 B HTFPB x0.2,htf_pullback,0.01,,71105.95,70882.84,71900.34,70882.25,SL,sl,223.11000000000058,-1.0026444354802406,25.467,0,,19,0.254,-1.47,71048.22,71074.56,,,2024-06-05 18:49:15,,,,,,,,,,,,,,,,,,,,,,,,,-2.236999999999971
3,2024-06-05 18:25:29,2024-06-05,18,BTCUSDm,buy,WT V11-BTC1-TREND200 B HTFPB x0.2,htf_pullback,0.01,,71178.94,70910.67,71900.34,71094.67,MARKET_CLOSE,market_close,268.2700000000041,-0.31412383046931375,14.517,0,,29,0.256,-0.765,71121.16,71147.65,,,2024-06-05 18:40:00,,,,,,,,,,,,,,,,,,,,,,,,,-0.8427000000000407
8,2024-06-07 07:15:45,2024-06-07,7,BTCUSDm,buy,WT V11-BTC1-TREND200 B HTFPB x0.1,htf_pullback,0.01,,71139.66,70995.66,71471.88,71123.36,MARKET_CLOSE,market_close,144.0,-0.11319444444446465,15.467,0,,45,0.299,-1.028,71086.19,71111.05,,,2024-06-07 07:31:13,,,,,,,,,,,,,,,,,,,,,,,,,-0.1630000000000291
10,2024-06-11 20:40:41,2024-06-11,20,BTCUSDm,buy,WT V11-BTC1-TREND200 B HTFPB x0.7,htf_pullback,0.05,,67227.83,66978.24,69723.75,67301.51,SL,sl,249.5899999999965,0.29520413478101704,172.933,0,,41,0.257,-0.882,67160.05,67194.5,,,2024-06-11 23:33:37,,,,,,,,,,,,,,,,,,,,,,,,,3.683999999999651
12,2024-06-13 15:11:33,2024-06-13,15,BTCUSDm,sell,WT V11-BTC1-TREND200 S x0.3,ob,0.01,,67440.29,67938.1,65847.31,66794.96,MARKET_CLOSE,market_close,497.8100000000122,1.2963379602659073,98.45,0,,16,0.261,-0.414,67516.18,67474.68,,,2024-06-13 16:50:00,,,,,,,,,,,,,,,,,,,,,,,,,6.453299999999872
14,2024-06-17 20:20:26,2024-06-17,20,BTCUSDm,buy,WT V11-BTC1-TREND200 B HTFPB x1.9,htf_pullback,0.05,,66451.72,66209.74,67226.06,66427.03,MARKET_CLOSE,market_close,241.97999999999593,-0.10203322588644824,29.4,0,,26,0.254,-1.212,66386.53,66419.07,,,2024-06-17 20:49:50,,,,,,,,,,,,,,,,,,,,,,,,,-1.2345000000001165
16,2024-07-07 08:21:11,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-TREND200 S x0.2,ob,0.01,,57515.97,57729.5,56034.12,57730.07,SL,sl,213.52999999999884,-1.002669414133844,33.483,0,,41,0.266,-1.087,57566.14,57547.02,,,2024-07-07 08:54:40,,,,,,,,,,,,,,,,,,,,,,,,,-2.1409999999999854
18,2024-07-10 11:49:42,2024-07-10,11,BTCUSDm,sell,WT V11-BTC1-TREND200 S HTFPB x0.2,htf_pullback,0.01,,58603.3,58841.71,56951.44,58627.32,MARKET_CLOSE,market_close,238.40999999999622,-0.1007508074325623,17.717,0,,17,0.26,-0.74,58666.45,58634.82,,,2024-07-10 12:07:25,,,,,,,,,,,,,,,,,,,,,,,,,-0.240199999999968
20,2024-07-11 18:05:35,2024-07-11,18,BTCUSDm,sell,WT V11-BTC1-TREND200 S HTFPB x0.1,htf_pullback,0.01,,57824.21,58039.41,57083.92,58040.86,SL,sl,215.20000000000437,-1.0067379182155998,17.017,0,,35,0.264,-0.824,57889.28,57852.85,,,2024-07-11 18:22:36,,,,,,,,,,,,,,,,,,,,,,,,,-2.1665000000000147
22,2024-07-14 13:20:14,2024-07-14,13,BTCUSDm,sell,WT V11-BTC1-TREND200 S HTFPB x0.9,htf_pullback,0.05,,59743.88,59954.74,59302.91,59767.32,MARKET_CLOSE,market_close,210.86000000000058,-0.11116380536850168,72.217,0,,14,0.257,-0.797,59800.28,59771.96,,,2024-07-14 14:32:27,,,,,,,,,,,,,,,,,,,,,,,,,-1.1720000000001165
