month,net,balance,trades
2024-06,12.91,212.91,1
2024-07,357.94,570.85,6
2024-08,68.0,638.85,10
2024-09,19.74,658.58,2
2024-10,90.89,749.47,1
2024-11,-26.61,722.87,1
2024-12,30.09,752.96,3
2025-01,2.75,755.71,4
2025-02,-174.08,581.63,16
2025-03,34.54,616.17,3
2025-04,301.59,917.76,2
2025-05,26.69,944.45,5
2025-06,139.33,1083.78,8
2025-07,-301.12,782.66,13
2025-08,69.82,852.49,21
2025-09,3.38,855.87,2
2025-10,-25.79,830.08,3
2025-11,9.41,839.49,2
2025-12,-77.41,762.08,3
2026-01,-83.2,678.88,11
2026-02,202.88,881.76,4
2026-03,122.02,1003.78,1
2026-04,-3.31,1000.46,3
2026-05,-47.58,952.89,4
