month,net,balance,trades
2024-06,-3.62,196.38,10
2024-07,351.62,548.01,10
2024-08,24.91,572.91,6
2024-09,6.73,579.64,4
2024-10,15.46,595.1,7
2024-11,-54.21,540.89,21
2024-12,95.9,636.8,17
2025-01,55.27,692.06,28
2025-02,9.55,701.61,3
2025-03,6.89,708.5,5
2025-04,316.9,1025.4,27
2025-05,-32.7,992.7,30
2025-06,12.78,1005.48,11
2025-07,580.16,1585.64,15
2025-08,1033.64,2619.28,41
2025-09,55.9,2675.18,27
2025-10,244.12,2919.3,11
2025-11,428.47,3347.77,14
2025-12,1763.89,5111.66,31
2026-01,298.49,5410.15,52
2026-02,317.92,5728.07,9
2026-03,196.81,5924.88,16
2026-04,1651.95,7576.83,50
2026-05,47.08,7623.9,38
