month,net,balance,trades
2024-06,42.4,242.4,1
2024-07,224.97,467.38,5
2024-08,82.95,550.33,2
2024-09,74.86,625.19,6
2024-10,121.56,746.74,1
2024-11,-48.15,698.6,3
2024-12,193.64,892.23,1
2025-01,-125.12,767.11,5
2025-02,247.14,1014.26,1
2025-03,-73.43,940.83,8
2025-04,301.59,1242.42,2
2025-05,119.53,1361.95,7
2025-06,228.07,1590.02,3
2025-07,225.64,1815.66,10
2025-08,774.62,2590.28,5
2025-09,164.72,2755.0,4
2025-10,-37.63,2717.37,6
2025-11,618.1,3335.47,3
2025-12,421.79,3757.26,5
2026-01,54.85,3812.11,4
2026-02,218.43,4030.54,2
2026-03,223.7,4254.24,1
2026-04,280.2,4534.44,2
2026-05,89.07,4623.5,4
