month,net,balance,trades
2024-06,5.66,205.66,7
2024-07,-34.17,171.49,14
2024-08,27.29,198.78,13
2024-09,5.38,204.17,5
2024-10,8.9,213.07,4
2024-11,-26.8,186.27,9
2024-12,10.72,196.98,3
2025-01,-163.1,33.88,15
2025-02,0.08,33.96,3
2025-03,-0.72,33.24,3
2025-04,129.43,162.67,3
2025-05,15.11,177.78,10
2025-06,8.68,186.46,18
2025-07,-169.48,16.99,14
2025-08,-0.98,16.01,3
2025-09,-1.83,14.18,4
2025-10,3.77,17.95,10
2025-11,-0.5,17.45,1
2025-12,66.02,83.48,7
2026-01,-33.37,50.11,13
2026-02,157.98,208.09,2
2026-03,21.67,229.75,10
2026-04,1.3,231.05,4
2026-05,-1.42,229.63,2
