ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
38,,,,,,,,,,,,,57153.03,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-09-10 10:50:00,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,107237.62,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-07-01 04:25:00,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-13 15:11:33,2024-06-13,15,BTCUSDm,sell,WT V11-BTC1-TREND74 S x1.4,ob,0.05,,67440.29,69431.51,65449.07,66794.96,MARKET_CLOSE,market_close,1991.2200000000012,0.3240877452014277,98.45,0,,16,0.261,-0.414,67516.18,67474.68,,,2024-06-13 16:50:00,,,,,,,,,,,,,,,,,,,,,,,,,32.26649999999936
4,2024-07-07 08:05:28,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-TREND74 S x1.3,ob,0.12,,57491.83,58498.57,56034.12,57751.64,MARKET_CLOSE,market_close,1006.739999999998,-0.2580706041281743,58.1,0,,28,0.26,-0.759,57542.1,57523.43,,,2024-07-07 09:03:34,,,,,,,,,,,,,,,,,,,,,,,,,-31.17719999999972
5,2024-07-07 08:41:15,2024-07-07,8,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.6,ob,0.05,,57483.59,58373.05,56034.12,57725.36,MARKET_CLOSE,market_close,889.4600000000064,-0.2718166078294722,12.45,0,,75,0.256,-0.676,57535.89,57517.49,,,2024-07-07 08:53:42,,,,,,,,,,,,,,,,,,,,,,,,,-12.088500000000204
8,2024-07-12 22:26:00,2024-07-12,22,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.3,ob,0.03,,57781.55,58441.99,56540.47,57949.04,MARKET_CLOSE,market_close,660.439999999995,-0.25360365816728125,81.667,0,,60,0.277,-0.987,57835.11,57809.78,,,2024-07-12 23:47:40,,,,,,,,,,,,,,,,,,,,,,,,,-5.024699999999939
10,2024-07-15 20:00:19,2024-07-15,20,BTCUSDm,buy,WT V11-BTC1-TREND74 B x25.9,ob,0.39,,63442.16,62045.08,64839.24,63644.88,MARKET_CLOSE,market_close,1397.0800000000017,0.1451026426546752,82.367,0,,19,0.251,-1.049,63396.64,63418.29,,,2024-07-15 21:22:41,,,,,,,,,,,,,,,,,,,,,,,,,79.06079999999761
12,2024-07-15 22:08:37,2024-07-15,22,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.2,ob,0.02,,63773.66,64647.96,,64044.44,MARKET_CLOSE,market_close,874.2999999999956,-0.30971062564337204,2.783,0,,118,0.252,-0.764,63849.74,63797.44,,,2024-07-15 22:11:24,,,,,,,,,,,,,,,,,,,,,,,,,-5.415599999999976
14,2024-07-16 18:12:57,2024-07-16,18,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.4,ob,0.01,,64674.76,66493.93,,65133.54,MARKET_CLOSE,market_close,1819.169999999991,-0.25219193368404336,76.067,0,,18,0.25,-0.474,64745.73,64705.5,,,2024-07-16 19:29:01,,,,,,,,,,,,,,,,,,,,,,,,,-4.587799999999988
16,2024-07-17 09:12:30,2024-07-17,9,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.6,ob,0.05,,65373.47,66350.39,62931.17,65376.58,MARKET_CLOSE,market_close,976.9199999999983,-0.003183474593621369,94.067,0,,111,0.252,-1.616,65425.46,65403.26,,,2024-07-17 10:46:34,,,,,,,,,,,,,,,,,,,,,,,,,-0.15550000000002911
18,2024-08-06 14:03:03,2024-08-06,14,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.4,ob,0.01,,55468.31,57857.62,,56076.7,MARKET_CLOSE,market_close,2389.310000000005,-0.2546299977817856,4.55,0,,21,0.255,-0.457,55517.92,55488.69,,,2024-08-06 14:07:36,,,,,,,,,,,,,,,,,,,,,,,,,-6.0838999999999945
20,2024-08-09 14:30:21,2024-08-09,14,BTCUSDm,sell,WT V11-BTC1-TREND74 S x2.2,ob,0.08,,60355.38,62453.88,55109.12,60394.23,MARKET_CLOSE,market_close,2098.5,-0.01851322373123937,22.383,0,,21,0.254,-1.048,60425.73,60380.58,,,2024-08-09 14:52:44,,,,,,,,,,,,,,,,,,,,,,,,,-3.108000000000466
22,2024-08-12 16:03:01,2024-08-12,16,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.6,ob,0.01,,60345.24,62803.51,,60004.44,MARKET_CLOSE,market_close,2458.270000000004,0.13863408006443356,36.717,0,,33,0.255,-1.037,60423.6,60372.56,,,2024-08-12 16:39:44,,,,,,,,,,,,,,,,,,,,,,,,,3.4079999999999564
23,2024-08-12 16:20:17,2024-08-12,16,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.6,ob,0.01,,59777.57,61744.19,,59341.11,MARKET_CLOSE,market_close,1966.6200000000026,0.22193407979172314,99.717,0,,,,,,,,,2024-08-12 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,True,4.364599999999991
26,2024-08-22 11:06:10,2024-08-22,11,BTCUSDm,buy,WT V11-BTC1-TREND74 B x0.2,ob,0.03,,61137.14,60530.58,61841.63,61133.01,MARKET_CLOSE,market_close,606.5599999999977,-0.006808889475068248,70.383,0,,33,0.254,-1.053,61097.49,61111.8,,,2024-08-22 12:16:33,,,,,,,,,,,,,,,,,,,,,,,,,-0.12389999999992142
28,2024-08-22 12:16:57,2024-08-22,12,BTCUSDm,buy,WT V11-BTC1-TREND74 B x4.4,ob,0.39,,61156.84,60395.12,61841.63,61135.4,MARKET_CLOSE,market_close,761.7199999999939,-0.028146825605202992,15.383,0,,28,0.255,-0.694,61117.66,61132.03,,,2024-08-22 12:32:20,,,,,,,,,,,,,,,,,,,,,,,,,-8.36159999999807
30,2024-08-23 01:31:43,2024-08-23,1,BTCUSDm,buy,WT V11-BTC1-TREND74 B x0.5,ob,0.07,,60632.62,59957.4,61399.48,60626.02,MARKET_CLOSE,market_close,675.2200000000012,-0.009774591984843177,86.833,0,,20,0.269,-1.008,60587.59,60606.05,,,2024-08-23 02:58:33,,,,,,,,,,,,,,,,,,,,,,,,,-0.4620000000004075
32,2024-08-23 02:59:52,2024-08-23,2,BTCUSDm,buy,WT V11-BTC1-TREND74 B x0.2,ob,0.03,,60659.89,59997.39,61399.48,61185.67,MARKET_CLOSE,market_close,662.5,0.7936301886792435,240.133,0,,82,0.25,-0.617,60615.78,60632.94,,,2024-08-23 07:00:00,,,,,,,,,,,,,,,,,,,,,,,,,15.773399999999965
34,2024-08-28 21:00:58,2024-08-28,21,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.6,ob,0.02,,59375.09,61289.53,,59066.32,MARKET_CLOSE,market_close,1914.4400000000023,0.16128476212364787,100.467,0,,58,0.25,-1.168,59465.22,59400.07,,,2024-08-28 22:41:26,,,,,,,,,,,,,,,,,,,,,,,,,6.175399999999936
36,2024-09-10 10:23:14,2024-09-10,10,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.1,ob,0.01,,57132.08,57856.18,,57228.22,MARKET_CLOSE,market_close,724.0999999999985,-0.13277171661372686,11.767,0,,35,0.254,-0.668,57169.7,57154.05,,,2024-09-10 10:35:00,,,,,,,,,,,,,,,,,,,,,,,,,-0.9613999999999941
40,2024-09-18 01:28:34,2024-09-18,1,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.5,ob,0.03,,60237.02,61482.1,57495.5,60619.28,MARKET_CLOSE,market_close,1245.0800000000017,-0.307016416615801,95.95,0,,57,0.26,-0.555,60305.65,60257.57,,,2024-09-18 03:04:31,,,,,,,,,,,,,,,,,,,,,,,,,-11.46780000000006
41,2024-09-18 01:49:39,2024-09-18,1,BTCUSDm,buy,WT V11-BTC1-TREND74 B x0.2,ob,0.01,,60151.82,59296.5,,60534.55,MARKET_CLOSE,market_close,855.3199999999997,0.44746995276622004,75.95,0,,132,0.258,-1.225,60103.61,60131.4,,,2024-09-18 03:05:36,,,,,,,,,,,,,,,,,,,,,,,,,3.827300000000032
44,2024-09-25 00:55:17,2024-09-25,0,BTCUSDm,buy,WT V11-BTC1-TREND74 B x0.5,ob,0.05,,64054.38,63287.04,64761.63,64762.55,TP,tp,767.3399999999965,0.9228894622983407,44.383,0,,17,0.272,-1.03,64014.35,64028.44,,,2024-09-25 01:39:40,,,,,,,,,,,,,,,,,,,,,,,,,35.40850000000028
46,2024-10-05 01:15:30,2024-10-05,1,BTCUSDm,sell,WT V11-BTC1-TREND74 S x1.2,ob,0.28,,62147.85,62631.95,60937.61,61784.28,MARKET_CLOSE,market_close,484.09999999999854,0.7510225160090906,105.95,0,,30,0.261,-0.977,62187.11,62171.49,,,2024-10-05 03:01:27,,,,,,,,,,,,,,,,,,,,,,,,,101.79959999999993
48,2024-11-04 11:31:20,2024-11-04,11,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.1,ob,0.02,,68774.44,69464.16,,68793.29,MARKET_CLOSE,market_close,689.7200000000012,-0.027329930986474564,36.167,0,,53,0.262,-1.599,68812.22,68796.89,,,2024-11-04 12:07:30,,,,,,,,,,,,,,,,,,,,,,,,,-0.37699999999982536
50,2024-11-09 01:00:26,2024-11-09,1,BTCUSDm,buy,WT V11-BTC1-TREND74 B x0.6,ob,0.18,,76423.36,75943.2,76632.48,76410.13,MARKET_CLOSE,market_close,480.1600000000035,-0.02755331556147082,15.217,0,,26,0.269,-1.676,76388.08,76401.39,,,2024-11-09 01:15:39,,,,,,,,,,,,,,,,,,,,,,,,,-2.3813999999992665
52,2024-11-17 04:05:29,2024-11-17,4,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.6,ob,0.08,,90194.77,91255.96,89133.58,90495.82,MARKET_CLOSE,market_close,1061.1900000000023,-0.28369095072513145,12.233,0,,29,0.253,-0.918,90264.27,90220.26,,,2024-11-17 04:17:43,,,,,,,,,,,,,,,,,,,,,,,,,-24.084000000000234
54,2024-12-02 00:51:19,2024-12-02,0,BTCUSDm,buy,WT V11-BTC1-TREND74 B x2.2,ob,0.24,,97407.41,96159.12,97903.65,97903.91,TP,tp,1248.2900000000081,0.3977441139478781,30.2,0,,38,0.256,-0.636,97364.21,97381.65,,,2024-12-02 01:21:31,,,,,,,,,,,,,,,,,,,,,,,,,119.16
56,2025-01-02 14:45:45,2025-01-02,14,BTCUSDm,sell,WT V11-BTC1-TREND74 S x1.1,ob,0.14,,96957.55,98368.43,,97345.86,MARKET_CLOSE,market_close,1410.87999999999,-0.2752253912451806,8.95,0,,45,0.252,-3.446,97004.77,96986.35,,,2025-01-02 14:54:42,,,,,,,,,,,,,,,,,,,,,,,,,-54.36339999999968
58,2025-01-03 14:48:14,2025-01-03,14,BTCUSDm,buy,WT V11-BTC1-TREND74 B x0.2,ob,0.01,,96923.13,95131.0,,97154.75,MARKET_CLOSE,market_close,1792.1300000000047,0.12924285626600454,23.267,0,,34,0.254,-0.501,96836.47,96894.33,,,2025-01-03 15:11:30,,,,,,,,,,,,,,,,,,,,,,,,,2.3161999999999536
60,2025-01-03 15:22:14,2025-01-03,15,BTCUSDm,buy,WT V11-BTC1-TREND74 B x0.7,ob,0.06,,96789.74,94922.41,,97829.09,MARKET_CLOSE,market_close,1867.3300000000017,0.5565968521900201,73.4,0,,104,0.251,-1.087,96703.69,96760.94,,,2025-01-03 16:35:38,,,,,,,,,,,,,,,,,,,,,,,,,62.36099999999947
62,2025-01-06 23:09:18,2025-01-06,23,BTCUSDm,sell,WT V11-BTC1-TREND74 S x2.8,ob,0.39,,102172.78,102994.28,,102194.35,MARKET_CLOSE,market_close,821.5,-0.026256847230684097,34.033,0,,49,0.264,-1.297,102224.93,102201.58,,,2025-01-06 23:43:20,,,,,,,,,,,,,,,,,,,,,,,,,-8.412300000002725
64,2025-02-02 19:22:48,2025-02-02,19,BTCUSDm,buy,WT V11-BTC1-TREND74 B x2.2,ob,0.15,,97105.3,94445.21,99326.31,98135.06,MARKET_CLOSE,market_close,2660.0899999999965,0.3871147216823476,29.883,0,,19,0.256,-1.044,97021.24,97076.31,,,2025-02-02 19:52:41,,,,,,,,,,,,,,,,,,,,,,,,,154.4639999999992
66,2025-03-13 10:30:00,2025-03-13,10,BTCUSDm,sell,WT V11-BTC1-TREND74 S x0.2,ob,0.04,,83298.87,84402.4,80631.47,83149.71,MARKET_CLOSE,market_close,1103.5299999999988,0.13516623925039564,19.567,0,,20,0.251,-0.546,83335.92,83322.03,,,2025-03-13 10:49:34,,,,,,,,,,,,,,,,,,,,,,,,,5.966399999999558
68,2025-03-14 01:05:01,2025-03-14,1,BTCUSDm,buy,WT V11-BTC1-TREND74 B x2.0,ob,0.39,,81410.69,80291.05,83948.7,82251.33,MARKET_CLOSE,market_close,1119.6399999999994,0.7508127612446857,113.617,0,,24,0.27,-0.673,81369.84,81387.53,,,2025-03-14 02:58:38,,,,,,,,,,,,,,,,,,,,,,,,,327.8495999999998
