month,net,balance,trades
2024-06,12.91,212.91,1
2024-07,391.69,604.59,2
2024-08,27.83,632.42,6
2024-09,-15.67,616.75,1
2024-10,0.0,616.75,0
2024-11,-15.28,601.48,2
2024-12,0.0,601.48,0
2025-01,306.35,907.82,11
2025-02,-180.99,726.84,10
2025-03,43.04,769.87,3
2025-04,301.59,1071.46,2
2025-05,35.17,1106.64,2
2025-06,309.69,1416.33,2
2025-07,451.33,1867.66,8
2025-08,1139.31,3006.96,7
2025-09,4.16,3011.12,2
2025-10,211.29,3222.41,5
2025-11,566.33,3788.74,6
2025-12,1674.42,5463.16,5
2026-01,-305.62,5157.54,8
2026-02,263.39,5420.93,7
2026-03,650.77,6071.7,1
2026-04,1194.83,7266.52,8
2026-05,-100.44,7166.08,4
