month,net,balance,trades
2024-06,16.96,216.96,1
2024-07,257.44,474.4,4
2024-08,-1.78,472.62,6
2024-09,18.94,491.55,4
2024-10,56.1,547.66,1
2024-11,-12.15,535.5,3
2024-12,5.81,541.31,3
2025-01,539.17,1080.48,13
2025-02,370.71,1451.19,1
2025-03,122.94,1574.13,3
2025-04,436.65,2010.78,2
2025-05,250.1,2260.88,6
2025-06,372.98,2633.87,4
2025-07,227.36,2861.23,11
2025-08,705.71,3566.94,5
2025-09,51.91,3618.85,4
2025-10,183.83,3802.68,5
2025-11,878.2,4680.88,6
2025-12,622.15,5303.03,5
2026-01,341.21,5644.24,12
2026-02,261.39,5905.63,7
2026-03,406.73,6312.36,1
2026-04,98.46,6410.82,6
2026-05,80.26,6491.08,3
