month,net,balance,trades
2024-06,12.56,212.56,2
2024-07,278.31,490.88,7
2024-08,10.77,501.65,10
2024-09,5.43,507.08,5
2024-10,-5.91,501.17,4
2024-11,-53.39,447.78,5
2024-12,59.03,506.81,5
2025-01,4.79,511.6,2
2025-02,27.73,539.33,2
2025-03,12.72,552.05,2
2025-04,301.59,853.64,2
2025-05,96.96,950.6,7
2025-06,70.58,1021.18,7
2025-07,-429.5,591.67,34
2025-08,44.47,636.14,13
2025-09,0.93,637.07,5
2025-10,-66.43,570.63,8
2025-11,3.62,574.25,4
2025-12,158.01,732.26,6
2026-01,129.63,861.89,6
2026-02,8.74,870.63,2
2026-03,37.86,908.49,3
2026-04,22.77,931.26,2
2026-05,-46.1,885.17,5
