month,net,balance,trades
2024-06,0.0,200.0,0
2024-07,0.0,200.0,0
2024-08,0.0,200.0,0
2024-09,0.0,200.0,0
2024-10,0.0,200.0,0
2024-11,0.0,200.0,0
2024-12,0.0,200.0,0
2025-01,-160.04,39.96,3
2025-02,-4.8,35.17,1
2025-03,0.0,35.17,0
2025-04,114.19,149.36,2
2025-05,8.5,157.86,2
2025-06,-126.52,31.35,1
2025-07,-7.02,24.33,4
2025-08,-10.4,13.93,3
2025-09,0.0,13.93,0
2025-10,-1.6,12.33,2
2025-11,0.0,12.33,0
2025-12,58.41,70.74,3
2026-01,-38.86,31.88,5
2026-02,58.02,89.9,1
2026-03,0.0,89.9,0
2026-04,-9.44,80.46,5
2026-05,-0.6,79.85,1
