month,net,balance,trades
2024-06,34.23,234.23,1
2024-07,375.44,609.67,5
2024-08,16.18,625.85,5
2024-09,28.87,654.72,5
2024-10,90.89,745.61,1
2024-11,-18.19,727.42,3
2024-12,30.09,757.51,3
2025-01,2.75,760.26,4
2025-02,64.47,824.73,2
2025-03,49.95,874.67,3
2025-04,301.59,1176.26,2
2025-05,40.1,1216.37,6
2025-06,272.53,1488.9,3
2025-07,-99.18,1389.72,6
2025-08,503.54,1893.26,7
2025-09,26.39,1919.64,4
2025-10,-73.69,1845.96,3
2025-11,446.6,2292.56,6
2025-12,1827.46,4120.02,5
2026-01,-524.59,3595.43,14
2026-02,305.98,3901.41,7
2026-03,406.73,4308.14,1
2026-04,2226.85,6534.99,12
2026-05,-106.61,6428.37,4
