month,net,balance,trades
2024-06,12.91,212.91,1
2024-07,267.06,479.97,6
2024-08,-1.78,478.19,6
2024-09,25.72,503.91,4
2024-10,69.08,572.99,1
2024-11,-14.82,558.17,3
2024-12,20.91,579.09,3
2025-01,280.03,859.11,13
2025-02,-200.51,658.6,17
2025-03,43.32,701.92,3
2025-04,301.59,1003.51,2
2025-05,-8.47,995.03,7
2025-06,113.23,1108.27,8
2025-07,-133.83,974.44,6
2025-08,871.71,1846.14,7
2025-09,26.13,1872.27,4
2025-10,319.65,2191.93,3
2025-11,317.11,2509.04,9
2025-12,1808.79,4317.83,5
2026-01,346.27,4664.11,12
2026-02,295.23,4959.34,7
2026-03,630.43,5589.77,1
2026-04,1014.32,6604.09,7
2026-05,-104.56,6499.53,4
