month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,394.37,626.63,7
2024-08,36.61,663.24,5
2024-09,92.7,755.94,6
2024-10,104.22,860.16,1
2024-11,-56.85,803.31,3
2024-12,193.64,996.94,1
2025-01,14.38,1011.32,4
2025-02,-435.66,575.67,23
2025-03,58.19,633.85,3
2025-04,301.59,935.44,2
2025-05,-0.22,935.22,7
2025-06,205.74,1140.96,3
2025-07,-50.58,1090.38,7
2025-08,1353.43,2443.81,7
2025-09,56.83,2500.64,4
2025-10,-41.86,2458.79,6
2025-11,618.1,3076.89,3
2025-12,502.37,3579.25,6
2026-01,-227.81,3351.44,9
2026-02,197.71,3549.15,7
2026-03,223.7,3772.85,1
2026-04,35.66,3808.51,2
2026-05,-22.8,3785.71,4
