month,net,balance,trades
2024-06,34.23,234.23,1
2024-07,325.48,559.7,7
2024-08,52.14,611.84,5
2024-09,87.45,699.3,5
2024-10,141.79,841.09,1
2024-11,-54.19,786.9,3
2024-12,193.64,980.54,1
2025-01,-158.24,822.3,5
2025-02,267.74,1090.04,1
2025-03,640.69,1730.73,7
2025-04,436.65,2167.38,2
2025-05,38.45,2205.83,7
2025-06,993.25,3199.07,3
2025-07,452.63,3651.71,5
2025-08,1428.81,5080.52,7
2025-09,98.02,5178.54,4
2025-10,-203.91,4974.63,3
2025-11,993.36,5967.99,2
2025-12,1390.73,7358.72,5
2026-01,-601.22,6757.5,14
2026-02,-85.97,6671.54,16
2026-03,223.7,6895.24,1
2026-04,64.39,6959.63,2
2026-05,-2.28,6957.35,4
