month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,342.98,575.25,6
2024-08,42.58,617.83,5
2024-09,88.75,706.58,6
2024-10,141.79,848.37,1
2024-11,-54.19,794.19,3
2024-12,193.64,987.82,1
2025-01,-158.24,829.58,5
2025-02,267.74,1097.32,1
2025-03,634.29,1731.61,7
2025-04,436.65,2168.26,2
2025-05,19.63,2187.89,7
2025-06,998.96,3186.85,3
2025-07,463.77,3650.62,5
2025-08,1249.58,4900.2,5
2025-09,72.86,4973.06,4
2025-10,-15.81,4957.25,6
2025-11,988.96,5946.21,3
2025-12,1390.73,7336.94,5
2026-01,242.16,7579.1,12
2026-02,114.78,7693.87,11
2026-03,223.7,7917.58,1
2026-04,68.29,7985.86,2
2026-05,5.93,7991.8,4
