month,net,balance,trades
2024-06,12.91,212.91,1
2024-07,203.24,416.14,5
2024-08,4.19,420.33,5
2024-09,18.51,438.84,4
2024-10,58.17,497.01,1
2024-11,-12.02,484.99,3
2024-12,20.91,505.9,3
2025-01,244.71,750.61,13
2025-02,-165.81,584.8,17
2025-03,34.54,619.34,3
2025-04,228.38,847.72,2
2025-05,5.06,852.78,6
2025-06,73.83,926.61,8
2025-07,208.73,1135.34,9
2025-08,977.37,2112.71,7
2025-09,31.53,2144.25,4
2025-10,390.65,2534.89,3
2025-11,567.79,3102.68,6
2025-12,1749.07,4851.76,5
2026-01,342.56,5194.31,12
2026-02,278.8,5473.11,7
2026-03,650.77,6123.88,1
2026-04,1175.93,7299.81,9
2026-05,-100.46,7199.35,4
