month,net,balance,trades
2024-06,32.27,232.27,1
2024-07,-96.93,135.34,15
2024-08,13.61,148.95,7
2024-09,18.51,167.45,4
2024-10,58.17,225.63,1
2024-11,-11.63,214.0,3
2024-12,74.47,288.48,1
2025-01,2.91,291.38,14
2025-02,82.38,373.76,1
2025-03,51.81,425.58,3
2025-04,-62.48,363.1,3
2025-05,1.46,364.56,7
2025-06,84.65,449.21,6
2025-07,79.75,528.97,13
2025-08,384.78,913.75,7
2025-09,4.25,918.0,4
2025-10,8.5,926.5,6
2025-11,242.13,1168.63,2
2025-12,483.15,1651.78,5
2026-01,-452.63,1199.15,30
2026-02,-52.39,1146.75,24
2026-03,223.7,1370.46,1
2026-04,25.31,1395.76,9
2026-05,-43.53,1352.24,4
