ticket,time,date,hour,symbol,dir,comment,signal_type,lot,pos_mult,entry,initial_sl,tp,exit,reason,exit_signal,risk,r,duration_min,mods,max_lock_r,bounce_sec,bounce_ob,confirm_pos,touch,confirm,touch_count,entry_count,close_time,stage,ob_age,strength,score,ds,fresh,cont,h1,deep,htf,risk_atr,spread_risk,peak_r,raw_peak_r,dtp_peak_r,giveback_r,bars_held,last_sl,be,trail,partial,dtp_partial,rev,addon,pnl_proxy
5,,,,,,,,,,,,,71123.16,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-06-05 18:56:03,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,60731.78,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-06-29 03:50:00,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,64313.57,SL,sl,,,,,,,,,,,,,2024-07-19 06:05:28,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,59574.37,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-08-18 06:40:00,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,61170.2,TP,tp,,,,,,,,,,,,,2024-08-23 12:52:39,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,61993.25,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-08-27 20:40:00,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,60889.46,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-10-03 11:19:19,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,97617.9,MARKET_CLOSE,market_close,,,,,,,,,,,,,2024-11-29 20:43:30,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,96585.81,SL,sl,,,,,,,,,,,,,2024-11-30 03:24:35,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,97720.31,MARKET_CLOSE,market_close,,,,,,,,,,,,,2025-01-04 11:05:00,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,105203.18,SL,sl,,,,,,,,,,,,,2025-01-19 07:04:37,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,94196.86,SL,sl,,,,,,,,,,,,,2025-05-05 20:51:21,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,94198.4,SL,sl,,,,,,,,,,,,,2025-05-05 20:51:26,,,,,,,,,,,,,,,,,,,,,,,,,
